id,name,country,volume,alcohol_volume,price,type
Nr 7742,Pizzolato Spumante d'Italia,Italy,750.0,11,87,Mousserande
Nr 77104,Alvaroni Cava,Spain,750.0,11.5,91,Mousserande
Nr 7958,Bacio della luna,Italy,750.0,11,101,Mousserande
Nr 7613,Julià & Navinès Cava Organic,Spain,750.0,11.5,97,Mousserande
Nr 7749,Mionetto,Italy,750.0,11,97,Mousserande
Nr 7927,Codorníu Ecológica,Spain,375.0,11.5,56,Mousserande
Nr 7870,Prosecco,Italy,750.0,11,101,Mousserande
Nr 7870,Prosecco,Italy,200.0,11,44,Mousserande
Nr 7549,Pol Roger,France,750.0,12.5,501,Mousserande
Nr 7688,Louis Bouillot,France,750.0,12,141,Mousserande
Nr 7782,Campo Viejo,Spain,750.0,11.5,91,Mousserande
Nr 7425,Charles de Fère,France,750.0,11.5,81,Mousserande
Nr 2175,Voilà,Hungary,750.0,12.5,81,Mousserande
Nr 7711,Asti Cinzano,Italy,375.0,7,56,Mousserande
Nr 73077,Guldkula,France,750.0,12,331,Mousserande
Nr 7686,André Clouet,France,750.0,12,351,Mousserande
Nr 7711,Asti Cinzano,Italy,750.0,7,89,Mousserande
Nr 7720,Casalforte,Italy,375.0,11,56,Mousserande
Nr 7781,Louis Bouillot,France,750.0,12,141,Mousserande
Nr 7720,Casalforte,Italy,750.0,11,96,Mousserande
Nr 77889,P.Lex,Italy,750.0,11,117,Mousserande
Nr 71610,KWV,South Africa,750.0,7,80,Mousserande
Nr 72809,Perfect day,Italy,750.0,11,91,Mousserande
Nr 79377,Casteloro,Italy,750.0,11.5,91,Mousserande
Nr 50260,Hola MZ Cava,Spain,750.0,11.5,101,Mousserande
Nr 77410,El Mar,Spain,750.0,11.5,81,Mousserande
Nr 7518,Moët & Chandon,France,750.0,12,481,Mousserande
Nr 70380,Louis Massing,France,750.0,12.5,231,Mousserande
Nr 7897,Mia,Spain,750.0,7,80,Mousserande
Nr 77107,Tr3 Apor,EU,750.0,8.5,76,Mousserande
Nr 76873,Baglietti,Italy,750.0,11,91,Mousserande
Nr 7725,Clotilde Davenne,France,750.0,12,157,Mousserande
Nr 74590,Baglietti,Italy,750.0,11,111,Mousserande
