snapdate,name,art_nr,country,volume,alc_vol,price,type
2023-09-08,Bio Riesling,7519,Germany,750.0,12,99,Mousserande
2023-09-08,Codorníu Ecológica,7927,Spain,375.0,11.5,59,Mousserande
2023-09-08,El Mar,77410,Spain,750.0,11.5,89,Mousserande
2023-09-08,Julià & Navinès Cava Organic,7613,Spain,750.0,11.5,97,Mousserande
2023-09-08,Prosecco,7870,Italy,200.0,11,49,Mousserande
2023-09-08,Prosecco,7870,Italy,750.0,11,97,Mousserande
2023-09-08,Mionetto,7749,Italy,750.0,11,99,Mousserande
2023-09-08,Pizzolato Spumante d'Italia Bianco,77185,Italy,750.0,11,79,Mousserande
2023-09-08,Charles de Fère,7425,France,750.0,11.5,85,Mousserande
2023-09-08,Asti Cinzano,7711,Italy,750.0,7,105,Mousserande
2023-09-08,Asti Cinzano,7711,Italy,375.0,7,69,Mousserande
2023-09-08,Louis Bouillot,7688,France,750.0,12,149,Mousserande
2023-09-08,Louis Bouillot,7781,France,750.0,12,149,Mousserande
2023-09-08,Casalforte,7720,Italy,375.0,11,65,Mousserande
2023-09-08,Campo Viejo,7782,Spain,750.0,11.5,95,Mousserande
2023-09-08,Baglietti,74590,Italy,750.0,11,109,Mousserande
2023-09-08,Casteloro,79377,Italy,750.0,11.5,99,Mousserande
2023-09-08,KWV,71610,South Africa,750.0,7,79,Mousserande
2023-09-08,Hola MZ Cava,50260,Spain,750.0,11.5,109,Mousserande
2023-09-08,Pizzolato Spumante d'Italia,7742,Italy,750.0,11,89,Mousserande
2023-09-08,Casteloro,79342,Italy,750.0,11,95,Mousserande
2023-09-08,Alvaroni Cava,77104,Spain,750.0,11.5,89,Mousserande
2023-09-08,Tr3 Apor,77107,European Union,750.0,8.5,79,Mousserande
2023-09-08,Cava Pinot Noir Rosé Organic,2216,Spain,375.0,11.5,84,Mousserande
2023-09-08,P.Lex,77889,Italy,750.0,11,119,Mousserande
2023-09-08,Casalforte,7720,Italy,750.0,11,99,Mousserande
2023-09-08,Clotilde Davenne,7725,France,750.0,12,169,Mousserande
2023-09-08,Perfect day,72809,Italy,750.0,11,99,Mousserande
2023-09-08,Charles de Fère,7425,France,200.0,11.5,42,Mousserande
2023-09-08,Mia,7897,Spain,750.0,7,82,Mousserande
2023-09-08,Hola MZ Cava Rosé,55315,Spain,750.0,11.5,99,Mousserande
2023-09-08,Beaumont de Crayères,7891,France,375.0,12,189,Mousserande
2023-09-08,Moët & Chandon,7518,France,200.0,12,169,Mousserande
2023-09-08,Privat,7904,Spain,750.0,11.5,129,Mousserande
2023-09-08,JP Chenet,76060,France,750.0,11,89,Mousserande
2023-09-08,Dopff Brut Cuvée Julien,7410,France,375.0,12,89,Mousserande
2023-09-08,Gancia Prosecco,7879,Italy,375.0,11.5,69,Mousserande
2023-09-08,Dominio Alto,50580,Spain,750.0,11.5,89,Mousserande
2023-09-08,Pata Negra,7684,Spain,750.0,11.5,74,Mousserande
2023-09-08,JP Chenet,76060,France,200.0,11,39,Mousserande
2023-09-08,Domaine Bousquet White Brut,2526,Argentina,750.0,12,129,Mousserande
2023-09-08,Cava Complicado de,56029,Spain,750.0,11.5,109,Mousserande
2023-09-08,Crémant d'Alsace,7520,France,375.0,12.5,99,Mousserande
2023-09-08,Freixenet,7738,Spain,200.0,11.5,44,Mousserande
2023-09-08,Castelmare,79780,Italy,750.0,11.5,95,Mousserande
2023-09-08,Gilloria,73566,Italy,750.0,11,79,Mousserande
2023-09-08,Pierre Olivier,77141,France,750.0,11.5,105,Mousserande
2023-09-08,Casteloro,78416,Italy,750.0,11,99,Mousserande
2023-09-08,Chapel Hill,7649,Hungary,200.0,12.5,39,Mousserande
2023-09-08,Sofia y Sebastian,51641,Spain,750.0,11.5,89,Mousserande
2023-09-08,Loxarel A Pèl,7470,Spain,750.0,12.5,137,Mousserande
2023-09-08,Tr3 Apor Bubbel,50682,Sweden,750.0,8.5,79,Mousserande
2023-09-08,Richard Juhlin,78979,France,750.0,12,139,Mousserande
2023-09-08,Jeanmaire,7430,France,375.0,12,179,Mousserande
2023-09-08,Cava Pinot Noir Rosé Organic,2216,Spain,750.0,11.5,127,Mousserande
2023-09-08,Pazzione Cava,77860,Spain,750.0,11.5,109,Mousserande
2023-09-08,Tr3 Apor,55154,European Union,750.0,8.5,79,Mousserande
2023-09-08,Cava Stars Organic,72601,Spain,750.0,11.5,120,Mousserande
2023-09-08,Langlois,7404,France,750.0,12.5,169,Mousserande
2023-09-08,Asti Martini,7706,Italy,375.0,7,49,Mousserande
2023-09-08,Gardo & Morris,7708,New Zealand,750.0,12.5,126,Mousserande
2023-09-08,Julien Barthazac,7403,France,750.0,12,99,Mousserande
2023-09-08,Rotari,7567,Italy,750.0,12.5,139,Mousserande
2023-09-08,Ecologica,7926,Argentina,750.0,10.5,97,Mousserande
2023-09-08,Chapel Hill,7649,Hungary,750.0,12.5,79,Mousserande
2023-09-08,Pizzolato,72749,Italy,750.0,11.5,99,Mousserande
2023-09-08,Henkell Trocken,7751,Germany,200.0,11.5,39,Mousserande
2023-09-08,Castelmare,70385,Italy,750.0,11.5,99,Mousserande
2023-09-08,Stoneleigh,94667,New Zealand,750.0,12.5,199,Mousserande
2023-09-08,Gran Passione,7704,Italy,750.0,11,99,Mousserande
2023-09-08,Federico Paternina,71275,Spain,750.0,11.5,89,Mousserande
2023-09-08,Freixenet,7738,Spain,375.0,11.5,60,Mousserande
2023-09-08,Skumpa Frosty Mojito,51274,Italy,750.0,7,89,Mousserande
2023-09-08,Loxarel,7959,Spain,750.0,12.5,137,Mousserande
2023-09-08,Baglietti,76873,Italy,750.0,11,109,Mousserande
2023-09-08,Pongrácz,7628,South Africa,750.0,12,129,Mousserande
2023-09-08,Patriarche,7578,France,750.0,12,95,Mousserande
2023-09-08,La Farra Prosecco,2323,Italy,750.0,11.5,79,Mousserande
2023-09-08,Xanté,77569,International Brand,750.0,10,109,Mousserande
