idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 7742,Pizzolato Spumante d'Italia,Italien,750 ml,11 %,87:-
0,Nr 77104,Alvaroni Cava,Spanien,750 ml,"11,5 %",91:-
0,Nr 7958,Bacio della luna,Italien,750 ml,11 %,101:-
0,Nr 7613,Julià & Navinès Cava Organic,Spanien,750 ml,"11,5 %",97:-
0,Nr 7749,Mionetto,Italien,750 ml,11 %,97:-
0,Nr 7927,Codorníu Ecológica,Spanien,375 ml,"11,5 %",56:-
0,Nr 7870,Prosecco,Italien,750 ml,11 %,101:-
0,Nr 7870,Prosecco,Italien,200 ml,11 %,44:-
0,Nr 7549,Pol Roger,Frankrike,750 ml,"12,5 %",501:-
0,Nr 7688,Louis Bouillot,Frankrike,750 ml,12 %,141:-
0,Nr 7782,Campo Viejo,Spanien,750 ml,"11,5 %",91:-
0,Nr 7425,Charles de Fère,Frankrike,750 ml,"11,5 %",81:-
0,Nr 2175,Voilà,Ungern,750 ml,"12,5 %",81:-
0,Nr 7711,Asti Cinzano,Italien,375 ml,7 %,56:-
0,Nr 73077,Guldkula,Frankrike,750 ml,12 %,331:-
0,Nr 7686,André Clouet,Frankrike,750 ml,12 %,351:-
0,Nr 7711,Asti Cinzano,Italien,750 ml,7 %,89:-
0,Nr 7720,Casalforte,Italien,375 ml,11 %,56:-
0,Nr 7781,Louis Bouillot,Frankrike,750 ml,12 %,141:-
0,Nr 7720,Casalforte,Italien,750 ml,11 %,96:-
0,Nr 77889,P.Lex,Italien,750 ml,11 %,117:-
0,Nr 71610,KWV,Sydafrika,750 ml,7 %,80:-
0,Nr 72809,Perfect day,Italien,750 ml,11 %,91:-
0,Nr 79377,Casteloro,Italien,750 ml,"11,5 %",91:-
0,Nr 50260,Hola MZ Cava,Spanien,750 ml,"11,5 %",101:-
0,Nr 77410,El Mar,Spanien,750 ml,"11,5 %",81:-
0,Nr 7518,Moët & Chandon,Frankrike,750 ml,12 %,481:-
0,Nr 70380,Louis Massing,Frankrike,750 ml,"12,5 %",231:-
0,Nr 7897,Mia,Spanien,750 ml,7 %,80:-
0,Nr 77107,Tr3 Apor,EU,750 ml,"8,5 %",76:-
0,Nr 76873,Baglietti,Italien,750 ml,11 %,91:-
0,Nr 7725,Clotilde Davenne,Frankrike,750 ml,12 %,157:-
0,Nr 74590,Baglietti,Italien,750 ml,11 %,111:-
0,Nr 70385,Castelmare,Italien,750 ml,"11,5 %",91:-
0,Nr 7518,Moët & Chandon,Frankrike,200 ml,12 %,160:-
0,Nr 7904,Privat,Spanien,750 ml,"11,5 %",122:-
0,Nr 7425,Charles de Fère,Frankrike,200 ml,"11,5 %",40:-
0,Nr 7372,Palmer & Co,Frankrike,750 ml,12 %,331:-
0,Nr 7879,Gancia Prosecco,Italien,375 ml,"11,5 %",63:-
0,Nr 7891,Beaumont des Crayères,Frankrike,750 ml,12 %,261:-
0,Nr 7422,Taittinger,Frankrike,750 ml,12 %,481:-
0,Nr 7738,Freixenet,Spanien,200 ml,12 %,37:-
0,Nr 77262,Philippe De Nantheuil,Frankrike,750 ml,12 %,221:-
0,Nr 7518,Moët & Chandon,Frankrike,375 ml,12 %,270:-
0,Nr 76060,JP Chenet,Frankrike,750 ml,11 %,81:-
0,Nr 77185,Pizzolato Spumante d'Italia Bianco,Italien,750 ml,11 %,81:-
0,Nr 79342,Casteloro,Italien,750 ml,11 %,81:-
0,Nr 7891,Beaumont de Crayères,Frankrike,375 ml,12 %,166:-
0,Nr 79780,Castelmare,Italien,750 ml,"11,5 %",91:-
0,Nr 7592,Nicolas Feuillatte,Frankrike,750 ml,12 %,381:-
0,Nr 7684,Pata Negra,Spanien,750 ml,"11,5 %",71:-
0,Nr 72601,Cava Stars Organic,Spanien,750 ml,"11,5 %",121:-
0,Nr 77860,Pazzione Cava,Spanien,750 ml,"11,5 %",101:-
0,Nr 7418,Bollinger,Frankrike,750 ml,12 %,551:-
0,Nr 2818,Montanha,Portugal,750 ml,12 %,130:-
0,Nr 52077,Nicolas Brobergière,Frankrike,750 ml,12 %,191:-
0,Nr 7424,Veuve Clicquot,Frankrike,750 ml,12 %,501:-
0,Nr 77366,La Chouette de Champillon,Frankrike,750 ml,"12,5 %",301:-
0,Nr 7520,Crémant d'Alsace,Frankrike,375 ml,"12,5 %",100:-
0,Nr 7549,Pol Roger,Frankrike,375 ml,12 %,276:-
0,Nr 7688,Louis Bouillot,Frankrike,1500 ml,12 %,312:-
0,Nr 73566,Gilloria,Italien,750 ml,11 %,81:-
0,Nr 2216,Cava Pinot Noir Rosé Organic,Spanien,375 ml,"11,5 %",76:-
0,Nr 2735,Cuvée Prestige Rosé Millésime,Frankrike,750 ml,"12,5 %",311:-
0,Nr 7649,Chapel Hill,Ungern,200 ml,"12,5 %",33:-
0,Nr 2323,La Farra Prosecco,Italien,750 ml,"11,5 %",81:-
0,Nr 77739,Amore Bianca,Italien,750 ml,11 %,111:-
0,Nr 50682,Tr3 Apor Bubbel,Sverige,750 ml,"8,5 %",76:-
0,Nr 76060,JP Chenet,Frankrike,200 ml,11 %,35:-
0,Nr 78979,Richard Juhlin,Frankrike,750 ml,12 %,131:-
0,Nr 7704,Gran Passione,Italien,750 ml,11 %,91:-
0,Nr 7450,Launois,Frankrike,750 ml,12 %,361:-
0,Nr 7415,Marqués de Monistrol,Spanien,750 ml,"11,5 %",91:-
0,Nr 7470,Loxarel A Pèl,Spanien,750 ml,"12,5 %",121:-
0,Nr 7567,Rotari,Italien,750 ml,"12,5 %",131:-
0,Nr 7404,Langlois,Frankrike,750 ml,"12,5 %",161:-
0,Nr 7959,Loxarel,Spanien,750 ml,13 %,121:-
0,Nr 7430,Jeanmaire,Frankrike,375 ml,12 %,166:-
0,Nr 7598,Moët & Chandon,Frankrike,750 ml,12 %,541:-
0,Nr 77141,Pierre Olivier,Frankrike,750 ml,"11,5 %",101:-
0,Nr 7418,Bollinger,Frankrike,375 ml,12 %,310:-
0,Nr 77569,Xanté,NO COUNTRY,NO VOLUME,NO ALCOHOL,101:-
0,Nr 77841,André Legrand,Frankrike,750 ml,12 %,241:-
0,Nr 7706,Asti Martini,Italien,375 ml,7 %,46:-
0,Nr 7867,Palmer & Co,Frankrike,750 ml,12 %,411:-
