idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 6508,Black Tower,EU,750 ml,"8,5 %",76:-
0,Nr 4637,Spring Village,Frankrike,187 ml,12 %,27:-*
0,Nr 2571,Mateus,Portugal,375 ml,11 %,39:-
0,Nr 3144,Ed Knows,Moldavien,750 ml,"13,5 %",81:-
0,Nr 2590,M de Minuty,Frankrike,750 ml,13 %,151:-
0,Nr 2859,Domaine de Collavery,Frankrike,750 ml,13 %,101:-
0,Nr 22138,Les Fumées Blanches,Frankrike,750 ml,"11,5 %",101:-
0,Nr 2571,Mateus,Portugal,750 ml,11 %,77:-
0,Nr 2197,Ecologica La Pluma,Spanien,750 ml,"12,5 %",91:-
0,Nr 70578,GW :s Rosa,Frankrike,750 ml,"12,5 %",101:-
0,Nr 2215,Barefoot,USA,750 ml,8 %,80:-
0,Nr 6077,Mulderbosch,Sydafrika,750 ml,"12,5 %",97:-
0,Nr 2209,Puy Chéri,Frankrike,750 ml,"12,5 %",80:-
0,Nr 71770,Perfect day,Frankrike,750 ml,"12,5 %",97:-
0,Nr 2479,Terrapura,Chile,750 ml,"12,5 %",91:-
0,Nr 2970,Errazuriz,Chile,375 ml,13 %,50:-
0,Nr 2203,Cuvée Madame,Frankrike,750 ml,13 %,141:-
0,Nr 2660,Leva,Bulgarien,750 ml,13 %,77:-
0,Nr 2900,Via del Campo,Spanien,750 ml,"12,5 %",81:-
0,Nr 2282,Côté Mas,Frankrike,750 ml,"12,5 %",97:-
0,Nr 2590,M de Minuty,Frankrike,375 ml,13 %,80:-
0,Nr 74125,Pierre Chavin,Frankrike,750 ml,13 %,131:-
0,Nr 6921,Santa Ana Organic,Argentina,750 ml,"12,5 %",91:-
0,Nr 72433,Tommasi,Italien,750 ml,"12,5 %",97:-
0,Nr 77940,Enzo Bartoli,Italien,750 ml,12 %,131:-
0,Nr 2580,SAAM,Sydafrika,750 ml,"13,5 %",111:-
0,Nr 79353,Minuty,Frankrike,750 ml,"12,5 %",171:-
0,Nr 2607,Berne Inspiration,Frankrike,750 ml,"12,5 %",147:-
0,Nr 72949,Côtes-du-Rhône,Frankrike,750 ml,"12,5 %",81:-
0,Nr 71747,Mulderbosch,Sydafrika,1500 ml,"12,5 %",202:-
0,Nr 2082,Pink Hill,Portugal,750 ml,"9,5 %",81:-
0,Nr 6921,Santa Ana Organic,Argentina,375 ml,13 %,56:-
0,Nr 6395,Pink Pet,Spanien,750 ml,"12,5 %",80:-*
0,Nr 2724,Les Lauzeraies,Frankrike,750 ml,"14,5 %",141:-
0,Nr 2258,La Galope,Frankrike,750 ml,"9,5 %",80:-
0,Nr 4637,Spring Village,Frankrike,1500 ml,12 %,142:-*
0,Nr 79451,Spring Village,Frankrike,750 ml,12 %,81:-*
0,Nr 6357,Adobe,Chile,750 ml,"12,5 %",81:-
0,Nr 6031,Mehrlein,Tyskland,750 ml,11 %,101:-
0,Nr 78359,Petite Cuvée Madame,Frankrike,750 ml,"12,5 %",111:-
0,Nr 2242,Colle Reale,Italien,750 ml,"12,5 %",101:-
0,Nr 77653,Grande Cuvée,Frankrike,1000 ml,"12,5 %",101:-
0,Nr 74015,Meinklang Prosa,Österrike,750 ml,"10,5 %",121:-
0,Nr 77476,Bouchard Aîné & Fils,Frankrike,750 ml,"12,5 %",91:-
0,Nr 86582,Pazzione Rosé,Spanien,750 ml,12 %,91:-
0,Nr 6026,Marlborough Estate,Nya Zeeland,750 ml,"9,5 %",101:-
0,Nr 92484,District 7,USA,750 ml,13 %,129:-
0,Nr 2239,Les Remparts des Ceps Dorés,Frankrike,375 ml,"13,5 %",60:-
0,Nr 92173,Bosman,Sydafrika,750 ml,"11,5 %",131:-
0,Nr 93539,Trapiche,Argentina,750 ml,12 %,122:-
0,Nr 92027,Alpamanta Breva,Argentina,750 ml,12 %,229:-
0,Nr 50268,Golden Year,Frankrike,750 ml,"12,5 %",101:-
0,Nr 70435,Ohh,Frankrike,187 ml,"12,5 %",28:-
0,Nr 94545,Longridge,Sydafrika,750 ml,"13,5 %",171:-
0,Nr 95006,Brancaia Rosé,Italien,750 ml,"12,5 %",151:-
0,Nr 93601,"Cerasuolo d'Abruzzo Superiore ""Le Cince""",Italien,750 ml,"12,5 %",250:-
0,Nr 93429,Longview,Australien,750 ml,"13,5 %",149:-
0,Nr 90164,Gérard Bertrand,Frankrike,750 ml,"14,5 %",489:-
0,Nr 94019,Schloss Gobelsburg,Österrike,1500 ml,12 %,218:-
0,Nr 93403,Benanti,Italien,750 ml,14 %,169:-
