idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2722,Espacio Syrah,Argentina,750 ml,13 %,77:-*
0,Nr 6581,Cameleon,Argentina,375 ml,14 %,56:-
0,Nr 75825,Grandiosa,Argentina,1000 ml,14 %,97:-
0,Nr 6146,CHILL OUT,Argentina,750 ml,13 %,81:-*
0,Nr 16554,Trapiche,Argentina,750 ml,"13,5 %",94:-
0,Nr 2170,Navarro Correas,Argentina,375 ml,"14,5 %",60:-
0,Nr 2451,CHILL OUT,Argentina,750 ml,"12,5 %",91:-*
0,Nr 2331,La Zulema,Argentina,750 ml,"14,5 %",81:-
0,Nr 2501,El Esteco,Argentina,750 ml,"14,5 %",151:-
0,Nr 2463,Ecologica Familias Reserve,Argentina,750 ml,13 %,80:-*
0,Nr 95602,Mendel Cabernet Sauvignon,Argentina,750 ml,"14,5 %",189:-
0,Nr 6512,Ecologica Familias Reserve,Argentina,750 ml,13 %,81:-
0,Nr 2076,Cameleon Signature,Argentina,750 ml,"14,5 %",100:-*
0,Nr 6581,Cameleon,Argentina,750 ml,"13,5 %",91:-
0,Nr 6525,Cameleon Signature,Argentina,750 ml,"14,5 %",101:-*
0,Nr 1056,Zolo Winemakers Blend,Argentina,750 ml,14 %,121:-
0,Nr 72439,Catena,Argentina,750 ml,"13,5 %",141:-
0,Nr 2464,Alamos Organic Malbec,Argentina,750 ml,"13,5 %",101:-*
0,Nr 6551,Quara,Argentina,750 ml,14 %,161:-
0,Nr 2450,Autenta,Argentina,750 ml,14 %,161:-
0,Nr 2761,Zolo Black,Argentina,750 ml,"14,5 %",291:-
0,Nr 93495,Colomé,Argentina,750 ml,"14,5 %",191:-
0,Nr 6529,Tapiz,Argentina,750 ml,14 %,151:-
0,Nr 94777,J Alberto,Argentina,750 ml,"13,5 %",359:-
0,Nr 93505,Clos de Los Siete,Argentina,1500 ml,"14,5 %",452:-
0,Nr 93323,Calcáreo Coluvio de Altamira,Argentina,750 ml,14 %,279:-
0,Nr 92216,Concreto,Argentina,1500 ml,14 %,579:-
0,Nr 95527,A Lisa,Argentina,1500 ml,14 %,401:-
0,Nr 91120,Achaval-Ferrer,Argentina,750 ml,15 %,401:-
0,Nr 92413,Kaiken,Argentina,750 ml,"14,5 %",219:-
0,Nr 95820,Flechas de los Andes,Argentina,750 ml,"14,5 %",189:-
0,Nr 93347,Alfa Crux,Argentina,750 ml,"14,7 %",319:-
0,Nr 94680,Viña Unica,Argentina,750 ml,15 %,189:-
0,Nr 95929,Finca Bella Vista,Argentina,1500 ml,14 %,2 249:-
0,Nr 90281,Achaval Ferrer,Argentina,750 ml,"14,5 %",1 201:-
0,Nr 90167,Achaval Ferrer,Argentina,750 ml,"14,5 %",1 101:-
0,Nr 94211,Otronia 45 Rugientes,Argentina,750 ml,"12,5 %",261:-
0,Nr 71856,Otronia 1,Argentina,750 ml,"13,5 %",551:-
0,Nr 70254,Familia Cecchin,Argentina,750 ml,"14,5 %",250:-
0,Nr 56086,Piedra Negra,Argentina,750 ml,"15,5 %",752:-
0,Nr 6156,Masi Passo Doble,Argentina,750 ml,14 %,121:-
0,Nr 2161,Alegoria Malbec,Argentina,750 ml,14 %,121:-
0,Nr 95001,Nicolas Catena Zapata,Argentina,750 ml,"13,5 %",997:-
0,Nr 58729,Nicasia Vineyard,Argentina,750 ml,"13,5 %",697:-
0,Nr 72811,Doña Paula Estate,Argentina,750 ml,14 %,159:-
0,Nr 70721,Altos Las Hormigas,Argentina,750 ml,"13,5 %",271:-
0,Nr 50990,Finca La Celia,Argentina,750 ml,14 %,131:-
0,Nr 74878,Zuccardi Q,Argentina,750 ml,14 %,191:-
0,Nr 2804,Alamos,Argentina,750 ml,"13,5 %",131:-
0,Nr 72311,Gran Lurton,Argentina,750 ml,15 %,221:-
0,Nr 2668,Mantra,Argentina,750 ml,14 %,161:-
0,Nr 53108,Matias Riccitelli,Argentina,750 ml,"14,5 %",319:-
0,Nr 2170,Navarro Correas,Argentina,750 ml,"13,5 %",101:-
0,Nr 2951,Hereford,Argentina,750 ml,14 %,101:-
0,Nr 2207,Trivento Golden Reserve,Argentina,750 ml,"14,5 %",121:-
0,Nr 51993,Beefsteak Club,Argentina,750 ml,"13,5 %",147:-
0,Nr 56585,Kaiken Indómito,Argentina,750 ml,"14,5 %",181:-
0,Nr 72118,Kaiken Estate,Argentina,750 ml,14 %,151:-
0,Nr 59274,Sensum VI,Argentina,750 ml,"14,5 %",176:-
0,Nr 59318,Sensum VI,Argentina,750 ml,"14,5 %",272:-
0,Nr 59419,Sensum VI Gran,Argentina,750 ml,"14,5 %",272:-
0,Nr 6607,Trivento,Argentina,750 ml,"13,5 %",71:-
0,Nr 72889,Norton,Argentina,750 ml,"14,5 %",211:-
0,Nr 71381,Callia Magna,Argentina,750 ml,14 %,127:-
0,Nr 70940,La Linda,Argentina,750 ml,"13,5 %",130:-
