idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 6422,Heirloom Vineyards,Australien,750 ml,15 %,201:-
0,Nr 2362,The Fox and the grapes,Australien,750 ml,14 %,91:-*
0,Nr 2066,Jacob's Creek,Australien,375 ml,"13,5 %",50:-
0,Nr 2508,West Cape Howe,Australien,750 ml,"14,5 %",101:-
0,Nr 6816,The Great Bonza,Australien,750 ml,14 %,81:-
0,Nr 2129,Lionheart of the Barossa,Australien,750 ml,"14,5 %",127:-
0,Nr 73968,19 Crimes,Australien,750 ml,"13,5 %",101:-
0,Nr 2129,Lionheart of the Barossa,Australien,375 ml,"14,5 %",70:-
0,Nr 20042,Lindeman's Bin 45,Australien,750 ml,"13,5 %",81:-*
0,Nr 6894,Hope,Australien,750 ml,"14,5 %",97:-
0,Nr 6253,Penfolds Koonunga Hill,Australien,750 ml,"14,5 %",101:-
0,Nr 2066,Jacob's Creek,Australien,187 ml,"13,5 %",32:-
0,Nr 6253,Penfolds Koonunga Hill,Australien,375 ml,"14,5 %",60:-
0,Nr 6302,Gurra Gurra Creek,Australien,750 ml,14 %,81:-
0,Nr 6942,Rawson's Retreat,Australien,750 ml,14 %,81:-
0,Nr 2066,Jacob's Creek,Australien,750 ml,14 %,85:-
0,Nr 6573,Caravan,Australien,750 ml,14 %,91:-
0,Nr 2971,Sister's Run Old Testament Coonawarra,Australien,750 ml,14 %,101:-
0,Nr 6831,Lindeman's,Australien,750 ml,"13,5 %",91:-
0,Nr 6430,Lindemans,Australien,750 ml,"13,5 %",77:-*
0,Nr 6942,Rawson's Retreat,Australien,375 ml,14 %,50:-
0,Nr 20033,Gemtree,Australien,750 ml,"14,5 %",121:-
0,Nr 2591,Children of the revolution,Australien,750 ml,"11,5 %",101:-
0,Nr 2623,Carpone Durif,Australien,750 ml,14 %,91:-*
0,Nr 20041,Lindeman's Bin 50,Australien,750 ml,14 %,81:-*
0,Nr 2413,Jacob's Creek Lighter Alcohol,Australien,750 ml,"9,5 %",84:-
0,Nr 2664,Q,Australien,750 ml,14 %,91:-
