idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2634,Domaine Boyar,Bulgarien,750 ml,"13,5 %",80:-
0,Nr 2037,Vûlk,Bulgarien,750 ml,"13,5 %",71:-
0,Nr 2091,Tcherga10,Bulgarien,750 ml,14 %,110:-
0,Nr 56698,Rough Day,Bulgarien,750 ml,13 %,91:-
0,Nr 73565,Abdyika,Bulgarien,750 ml,14 %,160:-
0,Nr 57282,Borovitza,Bulgarien,750 ml,13 %,241:-
0,Nr 59547,Abdyika,Bulgarien,750 ml,"14,5 %",160:-
0,Nr 74227,Abdyika,Bulgarien,750 ml,"14,5 %",168:-
0,Nr 74402,Abdyika,Bulgarien,750 ml,14 %,168:-
0,Nr 75202,Abdyika,Bulgarien,750 ml,14 %,110:-
0,Nr 59548,Abdyika,Bulgarien,750 ml,14 %,160:-
0,Nr 78856,Abdyika,Bulgarien,750 ml,"14,5 %",296:-
0,Nr 72192,Bessa Valley,Bulgarien,750 ml,14 %,136:-
