idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2456,Doña Dominga,Chile,750 ml,"14,5 %",121:-
0,Nr 7935,Gato Negro,Chile,250 ml,13 %,30:-*
0,Nr 7564,Gato Negro,Chile,750 ml,13 %,61:-
0,Nr 2962,Casillero del Diablo,Chile,375 ml,"13,5 %",45:-
0,Nr 2962,Casillero del Diablo,Chile,750 ml,"13,5 %",81:-
0,Nr 16510,Viña Maipo,Chile,750 ml,12 %,61:-
0,Nr 2962,Casillero del Diablo,Chile,250 ml,"13,5 %",35:-
0,Nr 5059,Santa Helena Varietal,Chile,1000 ml,13 %,86:-*
0,Nr 2704,Finca Negra,Chile,750 ml,14 %,121:-
0,Nr 2140,Camp,Chile,750 ml,"13,5 %",91:-*
0,Nr 6685,Viña Maipo,Chile,750 ml,12 %,61:-
0,Nr 16510,Viña Maipo,Chile,375 ml,"12,5 %",40:-
0,Nr 6450,Novas Gran Reserva,Chile,375 ml,"13,5 %",60:-
0,Nr 2651,Santa Helena Gran Reserva,Chile,750 ml,14 %,91:-*
0,Nr 2543,Expedition Carmenère,Chile,750 ml,13 %,71:-*
0,Nr 6586,Cono Sur,Chile,750 ml,14 %,101:-
0,Nr 4641,Cono Sur,Chile,750 ml,14 %,101:-
0,Nr 2246,Finca Negra,Chile,750 ml,14 %,161:-
0,Nr 92277,La Causa País,Chile,750 ml,13 %,151:-
0,Nr 2666,Frontera,Chile,250 ml,12 %,29:-
0,Nr 4567,Casillero del Diablo,Chile,750 ml,"13,5 %",81:-
0,Nr 5406,Humo Blanco,Chile,750 ml,14 %,121:-
0,Nr 6603,Casillero del Diablo,Chile,750 ml,"13,5 %",81:-
0,Nr 93235,Lapostolle,Chile,750 ml,15 %,201:-
0,Nr 2071,Darling,Chile,750 ml,"13,5 %",101:-
0,Nr 2223,Adobe,Chile,750 ml,"13,5 %",81:-*
0,Nr 92124,Boya,Chile,750 ml,13 %,150:-
0,Nr 2350,Doña Dominga,Chile,750 ml,14 %,161:-
0,Nr 2495,Río Claro,Chile,750 ml,"13,5 %",91:-*
0,Nr 93384,Santa Cruz De Coya,Chile,750 ml,"11,5 %",201:-
