idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 38310,Heinrich Maneuver,EU,750 ml,12 %,317:-
0,Nr 38232,Bit i kudden skattebetalare,EU,750 ml,"11,5 %",297:-
0,Nr 38309,Linje 11,EU,750 ml,"12,5 %",281:-
0,Nr 34519,Common People,EU,750 ml,"14,5 %",197:-
0,Nr 33244,Wine Mechanics,EU,750 ml,"12,5 %",300:-
0,Nr 38640,Meat Leaf,EU,750 ml,"12,5 %",697:-
0,Nr 33449,Johanna,EU,750 ml,14 %,130:-
0,Nr 31853,The Winery Red,EU,750 ml,14 %,181:-
0,Nr 38221,Högberga,EU,750 ml,"13,5 %",251:-
0,Nr 36718,Inní mér syngur vitleysingur,EU,750 ml,"12,5 %",399:-
0,Nr 37174,Akonoba Syrah,EU,750 ml,"13,5 %",429:-
0,Nr 36563,Högberga,EU,750 ml,"13,5 %",201:-
0,Nr 36564,Högberga,EU,750 ml,14 %,201:-
0,Nr 35141,Meat Leaf,EU,750 ml,"13,5 %",695:-
0,Nr 35420,Högberga,EU,750 ml,14 %,139:-
0,Nr 52597,Common People,EU,1500 ml,15 %,402:-
0,Nr 71992,Kristina,EU,750 ml,"14,5 %",131:-
0,Nr 71334,Wine Mechanics,EU,1500 ml,"12,5 %",615:-
