idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2441,Maison Francoise Côtes de Marmandais,Frankrike,750 ml,14 %,81:-*
0,Nr 20051,Saint-Joseph,Frankrike,750 ml,"13,5 %",201:-
0,Nr 2240,Arbin Mondeuse Avalanche,Frankrike,750 ml,12 %,181:-
0,Nr 2469,Les Pious,Frankrike,750 ml,14 %,91:-*
0,Nr 2151,Xavier Vignon Côtes-du-Rhône,Frankrike,750 ml,"14,5 %",111:-
0,Nr 74944,Grand Sud,Frankrike,1000 ml,"13,5 %",91:-*
0,Nr 82531,Bouchard Aîné,Frankrike,750 ml,"12,5 %",97:-
0,Nr 2257,Abbotts & Delaunay,Frankrike,750 ml,14 %,97:-
0,Nr 6018,Côtes-du-Rhône,Frankrike,750 ml,14 %,81:-
0,Nr 5475,Bourgogne Rouge,Frankrike,750 ml,12 %,141:-
0,Nr 5461,Mont-Redon,Frankrike,750 ml,14 %,127:-
0,Nr 2011,Côtes-du-Rhône,Frankrike,750 ml,15 %,137:-
0,Nr 71046,Le Chef,Frankrike,1000 ml,13 %,91:-
0,Nr 5283,Couvent des Jacobins,Frankrike,750 ml,13 %,191:-
0,Nr 4643,JP Chenet,Frankrike,250 ml,13 %,31:-
0,Nr 2167,Terre de Mistral Reserve,Frankrike,750 ml,"14,5 %",101:-
0,Nr 2211,Domaine du Vieux Lazaret,Frankrike,750 ml,15 %,261:-
0,Nr 73142,Gérard Bertrand Château L'Hospitalet,Frankrike,750 ml,15 %,191:-
0,Nr 2233,Château Pech-Latt,Frankrike,750 ml,13 %,161:-
0,Nr 2016,Réserve de Bonpas,Frankrike,750 ml,"13,5 %",101:-
0,Nr 3958,Château de Seguin,Frankrike,750 ml,"13,5 %",111:-
0,Nr 22299,Domaine Lalande Réserve,Frankrike,750 ml,13 %,81:-
0,Nr 4500,Saint Auriol Chatelaine,Frankrike,375 ml,14 %,70:-
0,Nr 5475,Bourgogne Rouge,Frankrike,375 ml,13 %,86:-
0,Nr 2262,La Bastide Blanche,Frankrike,750 ml,"14,5 %",191:-
0,Nr 2811,Château Mont-Redon,Frankrike,750 ml,"14,5 %",311:-
0,Nr 72034,Alain Jaume,Frankrike,750 ml,"14,5 %",121:-
