idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2201,Rustaveli Qvevri,Georgien,750 ml,"13,5 %",151:-
0,Nr 92197,Saperavi Qvevri,Georgien,750 ml,13 %,158:-
0,Nr 55781,Oda Winery,Georgien,750 ml,"11,5 %",265:-
0,Nr 73081,Marani,Georgien,750 ml,"11,5 %",240:-
0,Nr 55136,Twins Wine Cellar,Georgien,750 ml,"12,5 %",200:-
0,Nr 55224,Mildiani,Georgien,750 ml,12 %,400:-
0,Nr 73139,Mukado,Georgien,750 ml,"13,5 %",413:-
0,Nr 50371,Mildiani,Georgien,750 ml,12 %,250:-
0,Nr 50373,Mildiani,Georgien,750 ml,11 %,180:-
0,Nr 50036,Vazisubani,Georgien,750 ml,"13,5 %",251:-
0,Nr 54738,Kindzmarauli,Georgien,750 ml,"11,5 %",133:-
0,Nr 57914,Ojaleshi,Georgien,750 ml,12 %,140:-
0,Nr 58355,Sanavardo,Georgien,750 ml,13 %,250:-
0,Nr 54919,Betaneli,Georgien,750 ml,"11,5 %",103:-
0,Nr 76282,Guramishvili´s Marani,Georgien,750 ml,"11,5 %",323:-
0,Nr 76035,Marani,Georgien,750 ml,"14,5 %",284:-
0,Nr 55114,Daisi,Georgien,750 ml,13 %,202:-
0,Nr 79563,Mukuzani,Georgien,750 ml,13 %,309:-
0,Nr 70842,Mukado,Georgien,750 ml,13 %,889:-
