idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2070,Ramnista,Grekland,750 ml,"14,5 %",131:-
0,Nr 71780,Nostos,Grekland,750 ml,"14,5 %",240:-
0,Nr 76319,Nostos,Grekland,750 ml,"14,5 %",250:-
0,Nr 81006,Domaine Biblia Chora,Grekland,750 ml,14 %,241:-
0,Nr 75626,Eviotos,Grekland,750 ml,14 %,169:-
0,Nr 73256,Nostos,Grekland,750 ml,15 %,261:-
0,Nr 74619,Nostos,Grekland,750 ml,14 %,240:-
0,Nr 2354,Tsantali Naoussa,Grekland,750 ml,13 %,116:-
0,Nr 56761,Länna Bruk Dryckeshandel,Grekland,750 ml,"14,5 %",200:-
0,Nr 55045,Moschopolis,Grekland,750 ml,"13,5 %",190:-
0,Nr 74264,Pezoules,Grekland,750 ml,"13,5 %",96:-
0,Nr 57192,The Little Prince,Grekland,750 ml,"12,5 %",180:-
0,Nr 51696,Glinavos,Grekland,750 ml,"13,5 %",381:-
0,Nr 72453,Genesis,Grekland,750 ml,13 %,170:-
0,Nr 73181,Skouras,Grekland,750 ml,"13,5 %",161:-
0,Nr 87713,Nemea Boutari,Grekland,750 ml,"12,5 %",126:-
0,Nr 76262,Avlotopi,Grekland,750 ml,"14,5 %",234:-
0,Nr 72007,Dilofos,Grekland,750 ml,"13,5 %",142:-
0,Nr 74212,Naoussa Boutari,Grekland,750 ml,"12,5 %",161:-
0,Nr 51699,Glinavos,Grekland,750 ml,"12,5 %",201:-
0,Nr 2850,Ktima Kir-Yianni,Grekland,750 ml,"14,5 %",131:-
0,Nr 57709,Karamolegos Mavrotragano,Grekland,750 ml,13 %,470:-
0,Nr 79644,Avantis,Grekland,750 ml,13 %,270:-
0,Nr 71940,Deka,Grekland,750 ml,"13,5 %",230:-
0,Nr 72130,Saint George,Grekland,750 ml,"14,5 %",190:-
0,Nr 75819,Xinomavro,Grekland,750 ml,14 %,231:-
0,Nr 72182,Megas Oenos,Grekland,750 ml,14 %,300:-
0,Nr 72304,Mega Spileo,Grekland,750 ml,14 %,199:-
0,Nr 81833,Boutari,Grekland,750 ml,14 %,161:-
0,Nr 72856,Nostos,Grekland,750 ml,"13,5 %",180:-
0,Nr 76098,Agios Chronos,Grekland,750 ml,14 %,300:-
0,Nr 90559,Avantis Estate,Grekland,750 ml,"13,5 %",170:-
0,Nr 77320,Mega Spileo,Grekland,750 ml,15 %,360:-
0,Nr 72083,Nemea Driopi,Grekland,750 ml,"13,5 %",144:-
0,Nr 55824,Tatsis,Grekland,750 ml,"13,5 %",250:-
0,Nr 55085,Moschópolis 18,Grekland,750 ml,"14,5 %",261:-
0,Nr 75062,Feggites,Grekland,750 ml,"13,5 %",142:-
0,Nr 76628,Mega Spileo,Grekland,750 ml,14 %,280:-
0,Nr 72247,Mega Spileo,Grekland,750 ml,14 %,270:-
