idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2094,Nerello Mascalese,Italien,750 ml,"12,5 %",130:-*
1,Nr 20048,Crudo,Italien,750 ml,"12,5 %",131:-*
2,Nr 2236,Taurasi,Italien,750 ml,14 %,201:-
3,Nr 3034,Casa Vinironia Palloncino,Italien,750 ml,"13,5 %",71:-*
4,Nr 76598,Viva Valentina,Italien,750 ml,13 %,97:-
5,Nr 73570,Casa Marrone,Italien,750 ml,"14,5 %",111:-
6,Nr 32431,Boira',Italien,750 ml,13 %,101:-
7,Nr 73546,Massimo,Italien,1000 ml,"13,5 %",91:-
8,Nr 72169,Passicone,Italien,1000 ml,"13,5 %",91:-
9,Nr 32452,Raccolto,Italien,375 ml,14 %,51:-
10,Nr 72782,Piemonte,Italien,750 ml,"13,5 %",127:-
11,Nr 72479,Lisa 1503,Italien,1000 ml,"13,5 %",101:-
12,Nr 5354,Tommasi Graticcio Appassionato,Italien,750 ml,"12,5 %",107:-
13,Nr 74756,Amicone,Italien,750 ml,14 %,107:-
14,Nr 73966,Zensa,Italien,750 ml,14 %,97:-
15,Nr 6792,Campolieti,Italien,750 ml,"13,5 %",121:-
16,Nr 22310,Lambrusco Reggiano,Italien,750 ml,7 %,76:-
17,Nr 72411,Ecoltura,Italien,750 ml,"14,5 %",101:-
18,Nr 79600,Enzo Bartoli,Italien,750 ml,14 %,151:-
19,Nr 22300,Fontanafredda Ebbio,Italien,750 ml,"13,5 %",131:-
20,Nr 5354,Tommasi Graticcio Appassionato,Italien,375 ml,"12,5 %",63:-
21,Nr 2312,Cecchi,Italien,750 ml,13 %,81:-
22,Nr 74208,Amarone della Valpolicella,Italien,750 ml,15 %,181:-
23,Nr 32364,Mauro,Italien,375 ml,"13,5 %",45:-
24,Nr 2428,The Big Zin,Italien,750 ml,14 %,91:-
25,Nr 2390,Cantina Zaccagnini,Italien,750 ml,"12,5 %",121:-
26,Nr 73094,Stranger Zins,Italien,1000 ml,"13,5 %",91:-
27,Nr 73498,Casteloro,Italien,750 ml,13 %,101:-
28,Nr 52856,Rossetto,Italien,750 ml,14 %,121:-
29,Nr 70971,Passicone,Italien,1000 ml,"13,5 %",101:-
30,Nr 32228,Selvarossa,Italien,750 ml,"13,5 %",91:-
31,Nr 12343,Amarone A,Italien,750 ml,15 %,211:-
32,Nr 74659,The Wanted Zin,Italien,750 ml,"14,5 %",97:-
33,Nr 72399,Enzo Bartoli,Italien,750 ml,"13,5 %",211:-
34,Nr 74972,It's a Zin!,Italien,750 ml,14 %,121:-
35,Nr 72526,Governo Rosso Toscano,Italien,750 ml,14 %,101:-
36,Nr 5328,Monti Garbi,Italien,750 ml,14 %,141:-
37,Nr 22981,Monterosso,Italien,750 ml,"13,5 %",67:-
38,Nr 78230,Coste di moro,Italien,750 ml,14 %,121:-
39,Nr 74255,Pietro Di Campo,Italien,750 ml,13 %,101:-
40,Nr 2304,Domìni Veneti,Italien,375 ml,"12,5 %",170:-
41,Nr 80419,Heartwood,Italien,750 ml,"13,5 %",91:-
42,Nr 32417,Villa Puccini,Italien,750 ml,"12,5 %",91:-
43,Nr 2322,il Conte,Italien,375 ml,14 %,45:-
44,Nr 76686,Casa Marrone,Italien,750 ml,"14,5 %",141:-
45,Nr 22350,Tommasi,Italien,750 ml,15 %,301:-
46,Nr 32364,Mauro,Italien,750 ml,"13,5 %",81:-
47,Nr 79779,Prego,Italien,1000 ml,13 %,89:-
48,Nr 5352,Casalforte,Italien,750 ml,14 %,106:-
49,Nr 72945,Viva Valentina,Italien,750 ml,14 %,107:-
50,Nr 76845,Fortellino,Italien,750 ml,14 %,97:-
51,Nr 2705,Brolio,Italien,750 ml,"13,5 %",141:-
52,Nr 2326,Epicuro,Italien,750 ml,"14,5 %",91:-
53,Nr 75722,Barbera d'Alba,Italien,750 ml,14 %,121:-
54,Nr 22320,Bolla Le Poiane,Italien,750 ml,14 %,131:-
55,Nr 6792,Campolieti,Italien,375 ml,"13,5 %",76:-
56,Nr 2077,Copertino,Italien,750 ml,13 %,101:-
57,Nr 12366,Capitel de'Roari,Italien,375 ml,15 %,113:-
58,Nr 2337,Montepulciano d'Abruzzo,Italien,750 ml,13 %,81:-
59,Nr 71805,Valpolicella Ripasso,Italien,750 ml,"13,5 %",111:-
60,Nr 70705,Valpolicella Ripasso,Italien,750 ml,"13,5 %",141:-
61,Nr 73186,Castelmondo,Italien,750 ml,"13,5 %",101:-
62,Nr 72977,Grillo,Italien,750 ml,14 %,91:-
63,Nr 2386,Masi Modello,Italien,750 ml,12 %,91:-
64,Nr 32417,Villa Puccini,Italien,1500 ml,"12,5 %",172:-
65,Nr 70215,Bolla Le Poiane,Italien,750 ml,15 %,281:-
