idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2598,Plavac Mediterano,Kroatien,750 ml,13 %,121:-
0,Nr 2097,The Dalmatian Dog,Kroatien,750 ml,"14,5 %",131:-
0,Nr 51227,MasVin,Kroatien,750 ml,"14,5 %",265:-
0,Nr 51226,MasVin,Kroatien,750 ml,"15,5 %",262:-
0,Nr 51249,MasVin,Kroatien,750 ml,"13,5 %",265:-
0,Nr 73669,Testament Babic,Kroatien,750 ml,"13,5 %",160:-
0,Nr 53584,Saints Hills,Kroatien,750 ml,14 %,420:-
0,Nr 53576,Saints Hills,Kroatien,750 ml,"13,5 %",160:-
0,Nr 54726,Elegance Plavac Mali,Kroatien,750 ml,"13,5 %",188:-
0,Nr 95469,Zlatan Plavac,Kroatien,750 ml,14 %,221:-
0,Nr 75355,G Tocka,Kroatien,750 ml,13 %,120:-
0,Nr 72327,Stina,Kroatien,750 ml,13 %,255:-
0,Nr 53846,Galic,Kroatien,750 ml,13 %,230:-
0,Nr 78887,Zlatan Otok,Kroatien,750 ml,"14,5 %",300:-
0,Nr 51856,Zlatan Otok,Kroatien,750 ml,"13,5 %",171:-
0,Nr 53377,Josic,Kroatien,750 ml,14 %,149:-
0,Nr 73658,Vina Laguna,Kroatien,750 ml,13 %,129:-
