idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 7463,Chateau Musar,Libanon,750 ml,14 %,421:-
0,Nr 22325,Marquis de Beys Red,Libanon,750 ml,14 %,211:-
0,Nr 89049,Chateau Musar,Libanon,1500 ml,14 %,932:-
0,Nr 71203,Château Musar,Libanon,375 ml,14 %,240:-
0,Nr 91902,B-Qa de Marsyas,Libanon,750 ml,15 %,201:-
0,Nr 94672,Chateau Musar,Libanon,750 ml,14 %,4 499:-
0,Nr 79397,Domaine des Tourelles,Libanon,750 ml,14 %,170:-
0,Nr 90108,Château Kefraya,Libanon,750 ml,"14,5 %",246:-
0,Nr 51556,Château Heritage,Libanon,750 ml,"13,5 %",161:-
0,Nr 84534,Chateau Musar,Libanon,750 ml,14 %,261:-
0,Nr 75405,Domaine Wardy,Libanon,750 ml,"14,5 %",260:-
0,Nr 75236,Domaine Wardy,Libanon,750 ml,"14,5 %",290:-
0,Nr 82251,Comte de M,Libanon,750 ml,"13,5 %",401:-
0,Nr 75798,Domaine Wardy,Libanon,750 ml,"14,5 %",260:-
0,Nr 75277,Château Les Cèdres,Libanon,750 ml,15 %,370:-
0,Nr 75905,Musar Jeune,Libanon,750 ml,"13,5 %",201:-
0,Nr 72382,Château Kefraya,Libanon,750 ml,"13,5 %",126:-
0,Nr 78087,Château Ksara,Libanon,750 ml,"13,5 %",211:-
0,Nr 78088,Château Ksara,Libanon,750 ml,"13,5 %",211:-
0,Nr 51553,Château Heritage,Libanon,750 ml,"13,5 %",121:-
0,Nr 78830,Domaine des Tourelles,Libanon,750 ml,"14,5 %",390:-
0,Nr 78086,Château Ksara,Libanon,750 ml,"13,5 %",151:-
