idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 52051,Plantaze Vranac,Montenegro,750 ml,"14,5 %",601:-
0,Nr 79888,Vranac,Montenegro,750 ml,"13,5 %",121:-
0,Nr 52060,Plantaze Cabernet,Montenegro,750 ml,"13,5 %",131:-
0,Nr 52061,Status,Montenegro,750 ml,14 %,261:-
0,Nr 52064,Plantaze,Montenegro,750 ml,14 %,261:-
0,Nr 52054,Plantaze Vranac,Montenegro,750 ml,"14,5 %",301:-
0,Nr 52118,Status,Montenegro,750 ml,14 %,601:-
0,Nr 53980,Plantaze,Montenegro,750 ml,"13,5 %",131:-
0,Nr 78203,Vranac,Montenegro,750 ml,14 %,181:-
0,Nr 52074,Status,Montenegro,750 ml,"13,5 %",301:-
0,Nr 77540,Vladika,Montenegro,750 ml,"14,5 %",301:-
