idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 6292,Gardo & Morris,Nya Zeeland,750 ml,13 %,127:-
0,Nr 6456,Gardo & Morris,Nya Zeeland,375 ml,"12,5 %",80:-
0,Nr 16015,Saint Clair Origin,Nya Zeeland,750 ml,13 %,111:-
0,Nr 90545,Stoneleigh Rapaura,Nya Zeeland,750 ml,14 %,181:-
0,Nr 2138,Urlar,Nya Zeeland,750 ml,13 %,171:-
0,Nr 6265,Rua,Nya Zeeland,750 ml,14 %,181:-
0,Nr 2936,Saint Clair Pioneer Block 23,Nya Zeeland,375 ml,"13,5 %",80:-
0,Nr 74762,Nautilus,Nya Zeeland,750 ml,"13,5 %",261:-
0,Nr 94671,Greystone Vineyard,Nya Zeeland,750 ml,"13,5 %",399:-
0,Nr 90063,Greywacke,Nya Zeeland,750 ml,"13,5 %",271:-
0,Nr 95010,Ata Rangi Pinot Noir,Nya Zeeland,750 ml,"13,5 %",471:-
0,Nr 90536,Carrick Unravelled,Nya Zeeland,750 ml,"13,5 %",187:-
0,Nr 95297,Schubert,Nya Zeeland,750 ml,"14,5 %",269:-
0,Nr 90475,Pyramid Valley,Nya Zeeland,750 ml,13 %,291:-
0,Nr 94137,Te Kairanga,Nya Zeeland,750 ml,"13,5 %",177:-
0,Nr 94387,Smith & Sheth,Nya Zeeland,750 ml,"13,5 %",279:-
0,Nr 94638,Craggy Range,Nya Zeeland,750 ml,"13,5 %",279:-
0,Nr 6292,Gardo & Morris,Nya Zeeland,375 ml,13 %,69:-
0,Nr 94418,Rewa,Nya Zeeland,750 ml,13 %,329:-
0,Nr 94644,Craggy Range,Nya Zeeland,750 ml,13 %,279:-
0,Nr 93573,Pyramid Valley,Nya Zeeland,750 ml,14 %,650:-
0,Nr 56794,Two Paddocks,Nya Zeeland,750 ml,13 %,567:-
0,Nr 73076,Petit Clos,Nya Zeeland,750 ml,"13,5 %",191:-
0,Nr 71756,MOMO,Nya Zeeland,750 ml,13 %,221:-
0,Nr 55725,Earth Garden,Nya Zeeland,750 ml,"13,5 %",191:-
0,Nr 51433,Clos Henri,Nya Zeeland,750 ml,14 %,311:-
0,Nr 52501,Loop Rd,Nya Zeeland,750 ml,14 %,281:-
0,Nr 78210,Gardo & Morris,Nya Zeeland,750 ml,13 %,180:-
0,Nr 75409,Walnut Collectables,Nya Zeeland,750 ml,13 %,211:-
0,Nr 51472,Schubert,Nya Zeeland,750 ml,"13,5 %",501:-
0,Nr 51461,Schubert,Nya Zeeland,750 ml,"14,5 %",499:-
0,Nr 56760,Schubert,Nya Zeeland,750 ml,"14,5 %",471:-
0,Nr 20031,Gardo & Morris,Nya Zeeland,750 ml,13 %,160:-
0,Nr 71887,Saint Clair Pioneer Block 23,Nya Zeeland,750 ml,"13,5 %",211:-
0,Nr 16394,Stoneleigh,Nya Zeeland,750 ml,"13,5 %",138:-
0,Nr 73694,Rongopai,Nya Zeeland,750 ml,"12,5 %",191:-
0,Nr 70414,Kahurangi,Nya Zeeland,750 ml,"13,5 %",191:-
0,Nr 71083,The Crossings,Nya Zeeland,750 ml,14 %,151:-
0,Nr 71865,Lake Chalice,Nya Zeeland,750 ml,"13,5 %",181:-
0,Nr 52370,Wairau River,Nya Zeeland,750 ml,13 %,201:-
0,Nr 50279,Mount Riley,Nya Zeeland,750 ml,13 %,201:-
0,Nr 73825,Gardo & Morris,Nya Zeeland,750 ml,13 %,180:-
0,Nr 78550,Hunters,Nya Zeeland,750 ml,"13,5 %",181:-
0,Nr 59252,Cloudy Bay,Nya Zeeland,750 ml,14 %,341:-
0,Nr 78817,Tinpot Hut,Nya Zeeland,750 ml,"13,5 %",221:-
0,Nr 71553,Delta,Nya Zeeland,750 ml,"13,5 %",171:-
0,Nr 75603,ARA Single Estate,Nya Zeeland,750 ml,13 %,231:-
0,Nr 50676,Kim Crawford,Nya Zeeland,750 ml,13 %,241:-
0,Nr 76478,Two Paddocks,Nya Zeeland,750 ml,13 %,371:-
0,Nr 55782,Seddon,Nya Zeeland,750 ml,"12,5 %",321:-
0,Nr 5498,Elephant Hill,Nya Zeeland,750 ml,"13,5 %",181:-
