idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 70521,The Butcher,Österrike,750 ml,13 %,171:-
0,Nr 75093,Meinklang,Österrike,750 ml,12 %,141:-
0,Nr 6695,Markowitsch,Österrike,750 ml,"13,5 %",121:-
0,Nr 90113,Prellenkirchen Samt & Seide,Österrike,750 ml,"13,5 %",189:-
0,Nr 70521,The Butcher,Österrike,1500 ml,"13,5 %",338:-
0,Nr 74597,Kracher Zweigelt,Österrike,375 ml,"11,5 %",170:-
0,Nr 76999,Bergh,Österrike,750 ml,"12,5 %",131:-
0,Nr 57841,Heinrich,Österrike,750 ml,"12,5 %",151:-
0,Nr 54295,Urbanihof,Österrike,750 ml,13 %,146:-
0,Nr 51390,Fritsch,Österrike,750 ml,"12,5 %",174:-
0,Nr 79807,Hum Hofer,Österrike,1000 ml,13 %,141:-
0,Nr 76966,Wieninger,Österrike,750 ml,13 %,281:-
0,Nr 57774,Hajszan Neumann,Österrike,750 ml,13 %,251:-
0,Nr 56588,Zahel An Amphora,Österrike,750 ml,13 %,321:-
0,Nr 52231,Blaufränkisch,Österrike,750 ml,13 %,171:-
0,Nr 74054,Classic Style,Österrike,750 ml,12 %,161:-
0,Nr 73173,Pittnauer Pitti,Österrike,750 ml,"12,5 %",183:-
0,Nr 75410,Gruber Ried,Österrike,750 ml,13 %,151:-
0,Nr 77108,Pittnauer,Österrike,750 ml,"13,5 %",242:-
0,Nr 51652,Braunstein,Österrike,750 ml,"13,5 %",231:-
0,Nr 56191,Zahel,Österrike,750 ml,"12,5 %",321:-
0,Nr 79096,Dorli Muhr,Österrike,750 ml,13 %,347:-
0,Nr 78781,Heinrich,Österrike,750 ml,15 %,301:-
0,Nr 53521,Braunstein,Österrike,750 ml,13 %,231:-
0,Nr 52603,Krogensomintefinns,Österrike,750 ml,13 %,160:-
0,Nr 70845,Sankt Laurent,Österrike,750 ml,"12,5 %",271:-
0,Nr 78589,Ein Kleines Fass,Österrike,750 ml,13 %,271:-
0,Nr 58749,Meinklang,Österrike,750 ml,12 %,121:-
0,Nr 76450,Heinrich,Österrike,750 ml,"12,5 %",181:-
0,Nr 92291,Samt & Seide Prellenkirchen,Österrike,750 ml,13 %,201:-
0,Nr 70521,The Butcher,Österrike,18000 ml,13 %,6 529:-
0,Nr 74379,Dorli Muhr,Österrike,750 ml,"12,5 %",181:-
0,Nr 74607,Zweigelt,Österrike,750 ml,"13,5 %",171:-
0,Nr 3158,Oppelmayer,Österrike,750 ml,"13,5 %",61:-
0,Nr 78436,Schwarz,Österrike,750 ml,"13,5 %",181:-
0,Nr 78957,Dorli Muhr,Österrike,750 ml,"13,5 %",541:-
0,Nr 72718,Schwarz Rot,Österrike,750 ml,13 %,561:-
0,Nr 52289,Op Eximium,Österrike,750 ml,"13,5 %",251:-
0,Nr 79279,Domaene Gobelsburg,Österrike,750 ml,"12,5 %",131:-
0,Nr 79226,Umathum,Österrike,750 ml,"12,5 %",197:-
0,Nr 82093,Arndorfer,Österrike,1000 ml,12 %,186:-
0,Nr 51068,Dorli-Muhr,Österrike,750 ml,"13,5 %",671:-
0,Nr 89743,Edition Chremisa,Österrike,750 ml,"13,5 %",191:-
0,Nr 51645,Jamek Zweigelt,Österrike,750 ml,"13,5 %",211:-
0,Nr 76974,Pfaffl,Österrike,750 ml,14 %,190:-
0,Nr 70001,Schloss Gobelsburg,Österrike,750 ml,"12,5 %",231:-
0,Nr 2380,Kerschbaum Blaufränkisch,Österrike,750 ml,"13,5 %",147:-
0,Nr 57295,Leth,Österrike,750 ml,"13,5 %",231:-
0,Nr 52564,Strehn,Österrike,750 ml,"13,5 %",180:-
0,Nr 50592,Weingut Frank,Österrike,750 ml,"12,5 %",141:-
0,Nr 57297,Leth,Österrike,750 ml,"13,5 %",121:-
0,Nr 70521,The Butcher,Österrike,6000 ml,13 %,1 609:-
0,Nr 70521,The Butcher,Österrike,3000 ml,13 %,734:-
