idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 20049,Pica-Pica,Portugal,750 ml,14 %,180:-
0,Nr 2603,Segredos de São Miguel,Portugal,750 ml,14 %,96:-
0,Nr 2512,Porta 6 Tejo,Portugal,750 ml,13 %,91:-*
0,Nr 72139,GW :s Röda,Portugal,750 ml,"13,5 %",111:-
0,Nr 2565,Cigarra,Portugal,750 ml,"13,5 %",75:-
0,Nr 12520,Dão,Portugal,750 ml,13 %,71:-
0,Nr 6024,Alto Pina,Portugal,750 ml,14 %,81:-
0,Nr 2649,Vidigal,Portugal,750 ml,13 %,111:-
0,Nr 2560,Periquita,Portugal,750 ml,13 %,101:-
0,Nr 72302,Cigarra Gran Passo,Portugal,750 ml,14 %,91:-*
0,Nr 74312,LAB,Portugal,750 ml,14 %,81:-
0,Nr 4687,Impressivo,Portugal,1000 ml,"13,5 %",81:-*
0,Nr 2809,Casa Relvas,Portugal,750 ml,14 %,121:-
0,Nr 75998,Cigarra Gran Passo,Portugal,750 ml,14 %,91:-
0,Nr 2507,Portuga,Portugal,375 ml,14 %,60:-
0,Nr 2347,CARM,Portugal,750 ml,"13,5 %",101:-
0,Nr 72492,Escada,Portugal,750 ml,"12,5 %",81:-
0,Nr 4689,Casa Américo,Portugal,750 ml,"13,5 %",151:-
0,Nr 73308,P.Lex,Portugal,750 ml,14 %,117:-
0,Nr 2574,Periquita,Portugal,750 ml,"13,5 %",81:-
0,Nr 2224,Casal Mor Baga,Portugal,750 ml,13 %,102:-
0,Nr 3104,Alma do Tejo,Portugal,750 ml,"13,5 %",76:-
0,Nr 6139,Ramos,Portugal,750 ml,14 %,91:-
0,Nr 94022,Touriga Vai Nua,Portugal,750 ml,13 %,151:-
0,Nr 2534,Colossal,Portugal,750 ml,14 %,81:-
0,Nr 94843,Quinta do Crasto,Portugal,750 ml,"14,5 %",472:-
0,Nr 94633,Vallado,Portugal,750 ml,"14,5 %",349:-
0,Nr 93577,Turris,Portugal,750 ml,"11,5 %",1 029:-
0,Nr 94140,Mural,Portugal,750 ml,"13,5 %",121:-
0,Nr 95714,Pedra Cancela,Portugal,750 ml,"13,5 %",151:-
0,Nr 92002,Kelman,Portugal,750 ml,"13,5 %",205:-
