idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2620,La Revedere,Rumänien,750 ml,14 %,81:-
0,Nr 55776,Vigneron,Rumänien,750 ml,"13,5 %",198:-
0,Nr 55785,Vigneron,Rumänien,750 ml,"13,5 %",190:-
0,Nr 55786,Vigneron,Rumänien,750 ml,"13,5 %",196:-
0,Nr 55819,DFR,Rumänien,750 ml,"14,5 %",177:-
0,Nr 75129,Dominion Dracula,Rumänien,750 ml,"14,5 %",157:-
0,Nr 74012,Legend of Dracula,Rumänien,750 ml,"12,5 %",142:-
0,Nr 73957,Legend of Dracula,Rumänien,750 ml,"14,5 %",142:-
0,Nr 58717,Promessa,Rumänien,750 ml,"14,5 %",140:-
0,Nr 55768,DFR,Rumänien,750 ml,14 %,173:-
