idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 51853,Domaine de la Bolliattaz,Schweiz,750 ml,"13,5 %",398:-
0,Nr 53951,Château Pictet-Lullin,Schweiz,750 ml,13 %,300:-
0,Nr 50019,In Exelsis,Schweiz,750 ml,"13,5 %",319:-
0,Nr 54126,Les Cailloutis,Schweiz,750 ml,"12,5 %",528:-
0,Nr 53942,Chateau de Vullierens Galotta,Schweiz,750 ml,"13,5 %",326:-
0,Nr 74077,Château de Châtagneréaz,Schweiz,750 ml,"13,5 %",291:-
0,Nr 50063,Clos de la George,Schweiz,750 ml,"13,9 %",411:-
0,Nr 53947,Chateau de Vullierens Garanoir,Schweiz,750 ml,"13,5 %",300:-
0,Nr 50048,Landions,Schweiz,750 ml,"12,5 %",696:-
0,Nr 54097,Chateau de Vullierens,Schweiz,750 ml,"13,5 %",299:-
0,Nr 55009,Clos de la George,Schweiz,750 ml,"13,5 %",449:-
