idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 54687,Tri Morave,Serbien,750 ml,"14,5 %",177:-
0,Nr 70924,Dolina XVIII,Serbien,750 ml,15 %,226:-
0,Nr 55055,I Kao Da Si Andjeo,Serbien,750 ml,"13,5 %",167:-
0,Nr 73829,Rubin,Serbien,750 ml,"12,5 %",80:-
0,Nr 70426,Dolina,Serbien,750 ml,"14,5 %",149:-
0,Nr 75601,Rubin,Serbien,750 ml,12 %,80:-
0,Nr 79574,Pinot Noir,Serbien,750 ml,"14,5 %",117:-
0,Nr 79898,Prokupac Epigenia,Serbien,750 ml,13 %,161:-
0,Nr 54699,Grand Trianon,Serbien,750 ml,"14,5 %",250:-
0,Nr 54704,Prokupac,Serbien,750 ml,"13,5 %",200:-
0,Nr 54823,Stiflers Mom,Serbien,750 ml,"15,5 %",428:-
0,Nr 71190,Rubin,Serbien,750 ml,"12,5 %",80:-
0,Nr 71768,Don Rossi,Serbien,750 ml,12 %,99:-
0,Nr 51743,Rubin,Serbien,750 ml,"14,5 %",151:-
0,Nr 54707,SvB Rosa,Serbien,750 ml,13 %,389:-
0,Nr 54914,Tre Får,Serbien,750 ml,15 %,171:-
0,Nr 70441,Amante Carmen,Serbien,750 ml,14 %,191:-
0,Nr 58620,Sfera Noir,Serbien,750 ml,"14,5 %",186:-
0,Nr 71229,Rubin,Serbien,750 ml,"12,5 %",90:-
0,Nr 54650,Trianon,Serbien,750 ml,"14,5 %",167:-
0,Nr 78317,Orpheline,Serbien,750 ml,14 %,151:-
