idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2776,Gran Reserva,Spanien,750 ml,14 %,121:-
0,Nr 26258,Pava,Spanien,750 ml,"13,5 %",94:-*
0,Nr 2578,Valautín,Spanien,750 ml,15 %,170:-
0,Nr 2783,Banderilleros Ecológico,Spanien,750 ml,13 %,88:-*
0,Nr 6996,Torres Coronas,Spanien,750 ml,"13,5 %",81:-
0,Nr 2525,Baron de Ley,Spanien,750 ml,"14,5 %",121:-
0,Nr 12679,Lat 42,Spanien,750 ml,14 %,201:-
0,Nr 22652,Navajas,Spanien,750 ml,14 %,97:-
0,Nr 2532,Parajes del Valle,Spanien,750 ml,13 %,101:-
0,Nr 12670,El Coto,Spanien,750 ml,"13,5 %",91:-
0,Nr 22335,Candidato Ecologico,Spanien,750 ml,13 %,70:-*
0,Nr 2573,Marqués de Riscal,Spanien,750 ml,14 %,181:-
0,Nr 3027,Ribera 1 One,Spanien,750 ml,"14,5 %",121:-
0,Nr 2104,Viña Solorca,Spanien,750 ml,15 %,121:-
0,Nr 2249,Hacienda el Espino,Spanien,750 ml,14 %,81:-
0,Nr 12670,El Coto,Spanien,375 ml,13 %,50:-
0,Nr 2659,Coto de Imaz,Spanien,750 ml,14 %,121:-
0,Nr 2768,Baron de Ley,Spanien,750 ml,14 %,211:-
0,Nr 2686,Sangre de Toro,Spanien,750 ml,"14,5 %",101:-
0,Nr 2786,Campo Viejo,Spanien,750 ml,"13,5 %",90:-
0,Nr 2043,Lat 42 Reserva,Spanien,1500 ml,"14,5 %",372:-
0,Nr 2043,Lat 42,Spanien,750 ml,"14,5 %",111:-
0,Nr 4691,Gran Bodega,Spanien,1000 ml,14 %,91:-*
0,Nr 70217,Les Sorts,Spanien,750 ml,14 %,121:-
0,Nr 12126,Beronia,Spanien,750 ml,"13,5 %",101:-
0,Nr 20045,Isla Oro Garnacha,Spanien,750 ml,14 %,91:-*
0,Nr 2163,Tamaral,Spanien,750 ml,14 %,161:-
0,Nr 6996,Torres Coronas,Spanien,250 ml,"13,5 %",36:-
0,Nr 50247,Dominio Alto,Spanien,750 ml,"13,5 %",81:-
0,Nr 6083,Campo Viejo,Spanien,750 ml,"13,5 %",117:-
0,Nr 72143,Dominio Alto,Spanien,750 ml,"13,5 %",121:-
0,Nr 2794,Bikandi,Spanien,750 ml,"13,5 %",100:-
0,Nr 2734,Marqués de Cáceres,Spanien,750 ml,14 %,101:-
0,Nr 90384,Muga Reserva,Spanien,750 ml,14 %,301:-
0,Nr 2127,Dominio de Alma,Spanien,750 ml,"14,5 %",141:-
0,Nr 22662,Faustino VII,Spanien,750 ml,"13,5 %",93:-
0,Nr 2057,Sangre de Toro,Spanien,750 ml,"13,5 %",81:-
0,Nr 22662,Faustino VII,Spanien,375 ml,"13,5 %",52:-
0,Nr 78435,Montelciego,Spanien,750 ml,13 %,91:-
0,Nr 2954,Federico Paternina,Spanien,750 ml,"13,5 %",81:-
0,Nr 2684,Coca i Fitó,Spanien,750 ml,"14,5 %",130:-
0,Nr 52468,Dominio Alto,Spanien,750 ml,"13,5 %",101:-
0,Nr 2686,Sangre de Toro,Spanien,375 ml,"14,5 %",57:-
0,Nr 2716,Montelciego,Spanien,750 ml,"13,5 %",111:-
0,Nr 1079,Arzuaga,Spanien,750 ml,"14,5 %",231:-
0,Nr 95004,Legaris Crianza,Spanien,750 ml,15 %,191:-
0,Nr 2311,Elias Mora Crianza,Spanien,750 ml,15 %,161:-
0,Nr 2678,Faustino I,Spanien,750 ml,"13,5 %",197:-
0,Nr 2812,Pesquera Millenium,Spanien,750 ml,"14,5 %",651:-
0,Nr 2031,Castillo Monjardin,Spanien,750 ml,14 %,121:-
0,Nr 56790,Campos de Luz,Spanien,1000 ml,13 %,81:-*
0,Nr 2559,Vivir Sin Dormir,Spanien,750 ml,"14,5 %",107:-
0,Nr 6598,Francisco Gomez,Spanien,750 ml,"13,5 %",81:-*
0,Nr 2770,GR-174,Spanien,750 ml,15 %,181:-
0,Nr 92470,Malleolus,Spanien,750 ml,"14,5 %",321:-
0,Nr 95211,Roda,Spanien,750 ml,14 %,301:-
0,Nr 2737,Finca el Puig,Spanien,750 ml,"14,5 %",251:-
0,Nr 70120,ÀN/2,Spanien,750 ml,13 %,271:-
0,Nr 2718,Campos de Luz,Spanien,750 ml,"13,5 %",81:-
0,Nr 92031,Allende,Spanien,750 ml,14 %,221:-
0,Nr 12697,Torres Gran Coronas,Spanien,750 ml,"14,5 %",131:-
0,Nr 92688,Viña Tondonia,Spanien,750 ml,13 %,371:-
0,Nr 2685,Señorío de los Llanos,Spanien,750 ml,13 %,71:-
0,Nr 94776,Martelo Reserva,Spanien,750 ml,"14,5 %",251:-
0,Nr 4686,Gran Anciano,Spanien,750 ml,13 %,81:-
0,Nr 12601,Conde Valdemar,Spanien,750 ml,14 %,171:-
0,Nr 92707,Artadi,Spanien,750 ml,"14,5 %",241:-
0,Nr 2792,Altos d'Oliva,Spanien,750 ml,14 %,71:-
0,Nr 22674,Viña Albali,Spanien,750 ml,13 %,81:-
0,Nr 4505,Dehesa La Granja,Spanien,750 ml,"14,5 %",121:-
0,Nr 90370,Viña Bosconia,Spanien,750 ml,"13,5 %",271:-
0,Nr 7462,La Rioja Alta,Spanien,750 ml,"13,5 %",581:-
0,Nr 94079,Roda I,Spanien,750 ml,"14,5 %",469:-
0,Nr 94758,Macán,Spanien,750 ml,14 %,427:-
0,Nr 94831,Valbuena 5º,Spanien,750 ml,"14,5 %",1 397:-
0,Nr 92317,Psi,Spanien,750 ml,14 %,301:-
0,Nr 94612,Tilenus,Spanien,750 ml,14 %,221:-
0,Nr 93104,La Estrecha,Spanien,750 ml,"12,5 %",271:-
0,Nr 94567,Finca Valdelroble,Spanien,750 ml,"14,5 %",251:-
0,Nr 94565,Goliardo Caiño,Spanien,750 ml,12 %,319:-
0,Nr 94542,Taté,Spanien,750 ml,"12,5 %",359:-
0,Nr 94224,Veronica Ortega,Spanien,750 ml,12 %,220:-
0,Nr 2710,Marqués de Arienzo,Spanien,375 ml,14 %,79:-
0,Nr 2454,Loxarel Sense A Pèl,Spanien,750 ml,"14,5 %",121:-
0,Nr 94761,Vinyes Velles,Spanien,750 ml,"14,5 %",431:-
0,Nr 94296,La Estrecha Bobal,Spanien,750 ml,13 %,261:-
0,Nr 90392,Thalarn Syrah,Spanien,750 ml,13 %,379:-
0,Nr 94774,Viña Pedrosa Gran Reserva,Spanien,750 ml,"14,5 %",491:-
0,Nr 94201,Las Gravas,Spanien,750 ml,"14,5 %",339:-
0,Nr 93974,Veronica Ortega,Spanien,750 ml,"13,5 %",381:-
0,Nr 94553,Pancrudo,Spanien,750 ml,15 %,351:-
0,Nr 94564,Laurel,Spanien,750 ml,15 %,419:-
0,Nr 94263,Veronica Ortega,Spanien,750 ml,"12,5 %",315:-
0,Nr 92338,Villa de Corullón,Spanien,750 ml,14 %,401:-
0,Nr 93624,Veronica Ortega,Spanien,750 ml,13 %,381:-
0,Nr 94297,Cerro la isa,Spanien,750 ml,"14,5 %",499:-
0,Nr 92708,La Estrada,Spanien,750 ml,14 %,625:-
0,Nr 90374,Veronica Ortega,Spanien,750 ml,"13,5 %",326:-
0,Nr 94294,Dalmau,Spanien,750 ml,"14,5 %",749:-
0,Nr 93253,Finca Dofí,Spanien,750 ml,"14,5 %",649:-
0,Nr 73201,Gran Bodega,Spanien,1000 ml,14 %,89:-
0,Nr 53166,Campos de Luz,Spanien,1000 ml,13 %,69:-
0,Nr 94043,Dominio del Aguila,Spanien,1500 ml,14 %,651:-
0,Nr 95002,Viña Pedrosa,Spanien,750 ml,"14,5 %",323:-
0,Nr 92637,La Estrada,Spanien,750 ml,14 %,659:-
0,Nr 92632,Dominio del Aguila,Spanien,750 ml,"14,5 %",2 499:-
0,Nr 94047,Dominio del Aguila,Spanien,1500 ml,14 %,1 297:-
0,Nr 94059,Dominio del Aguila,Spanien,1500 ml,"14,5 %",5 601:-
0,Nr 94071,Dominio del Aguila,Spanien,1500 ml,14 %,3 401:-
0,Nr 93227,Artadi,Spanien,750 ml,"14,5 %",1 799:-
0,Nr 92736,Mas Martinet,Spanien,750 ml,"13,5 %",699:-
0,Nr 92967,Artadi,Spanien,750 ml,"14,5 %",2 599:-
0,Nr 92630,El Velado,Spanien,750 ml,14 %,695:-
0,Nr 90627,Arzuaga,Spanien,750 ml,"14,5 %",351:-
