idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 4698,Bosman Family,Sydafrika,750 ml,"13,5 %",101:-*
0,Nr 2073,Org de Rac,Sydafrika,750 ml,"14,5 %",101:-
0,Nr 2369,Cafê Culture,Sydafrika,750 ml,14 %,101:-
0,Nr 2046,Perdeberg Cellar Reserve Collection,Sydafrika,750 ml,"14,5 %",91:-*
0,Nr 2137,Perdeberg,Sydafrika,750 ml,14 %,81:-
0,Nr 7451,Roodeberg,Sydafrika,750 ml,14 %,101:-
0,Nr 2445,CHILL OUT,Sydafrika,1000 ml,"13,5 %",91:-*
0,Nr 4638,Stellenbosch Reserve,Sydafrika,750 ml,14 %,141:-
0,Nr 93169,Rooted,Sydafrika,750 ml,14 %,101:-
0,Nr 2220,SAAM,Sydafrika,750 ml,15 %,91:-*
0,Nr 2824,Rooted Winemaker's Selection,Sydafrika,750 ml,14 %,181:-
0,Nr 2269,Kleine Zalze,Sydafrika,750 ml,15 %,111:-
0,Nr 2909,Avondale Genus,Sydafrika,750 ml,14 %,201:-
0,Nr 2847,Kleine Zalze,Sydafrika,750 ml,"14,5 %",151:-
0,Nr 3108,Fleur du Cap,Sydafrika,375 ml,"14,5 %",50:-
0,Nr 2243,Jonty's Ducks,Sydafrika,750 ml,14 %,121:-
0,Nr 2086,The Chocolate Block,Sydafrika,750 ml,"14,5 %",251:-
0,Nr 2314,Hartenberg,Sydafrika,750 ml,"14,5 %",177:-
0,Nr 29002,Allesverloren,Sydafrika,750 ml,"14,5 %",101:-
0,Nr 90600,1954 Old Bush Vines Cinsaut,Sydafrika,750 ml,12 %,171:-
0,Nr 20038,Zafrica Cape Reserve,Sydafrika,1000 ml,"12,5 %",76:-*
0,Nr 12002,Allesverloren,Sydafrika,750 ml,"13,5 %",101:-
0,Nr 93052,De Toren Fusion V,Sydafrika,750 ml,"14,5 %",361:-
0,Nr 94748,Aslina,Sydafrika,750 ml,"14,5 %",240:-
0,Nr 2849,Simonsig,Sydafrika,750 ml,"13,5 %",91:-
0,Nr 74285,Silverboom,Sydafrika,750 ml,15 %,100:-
0,Nr 12356,Rust en Vrede Estate,Sydafrika,750 ml,"14,5 %",291:-
0,Nr 93029,Badenhorst Family Wines,Sydafrika,750 ml,"13,5 %",275:-
0,Nr 90355,Mullineux,Sydafrika,750 ml,"13,5 %",699:-
0,Nr 2502,Ken Forrester,Sydafrika,750 ml,"13,5 %",101:-
0,Nr 91160,Le Riche,Sydafrika,750 ml,"14,5 %",201:-
0,Nr 95259,Boschendal,Sydafrika,750 ml,14 %,201:-
0,Nr 2231,Land’s End,Sydafrika,750 ml,14 %,111:-
0,Nr 93457,Simonsig,Sydafrika,750 ml,14 %,269:-
0,Nr 90489,Porseleinberg,Sydafrika,750 ml,"13,5 %",639:-
0,Nr 94384,Damascene Cederberg,Sydafrika,750 ml,"13,5 %",399:-
0,Nr 93185,Mullineux,Sydafrika,750 ml,"13,5 %",699:-
0,Nr 94750,David & Nadia,Sydafrika,750 ml,12 %,169:-
0,Nr 94452,Mullineux Granite Syrah,Sydafrika,750 ml,14 %,699:-
0,Nr 94077,Saurwein,Sydafrika,750 ml,"14,5 %",431:-
0,Nr 93187,Mullineux,Sydafrika,750 ml,14 %,699:-
0,Nr 93608,Kershaw,Sydafrika,750 ml,"13,5 %",399:-
0,Nr 93188,Mullineux,Sydafrika,750 ml,"13,5 %",699:-
0,Nr 90153,Mullineux,Sydafrika,750 ml,"13,5 %",231:-
0,Nr 94479,Mullineux Schist,Sydafrika,750 ml,"13,5 %",699:-
0,Nr 92224,Op die Berg,Sydafrika,750 ml,"13,5 %",219:-
0,Nr 94630,Boekenhoutskloof,Sydafrika,750 ml,"14,5 %",379:-
0,Nr 95654,Wine & Co Dry Land Red,Sydafrika,750 ml,"13,5 %",199:-
0,Nr 93069,Mullineux,Sydafrika,750 ml,"14,5 %",699:-
0,Nr 92437,Crystallum,Sydafrika,750 ml,14 %,359:-
0,Nr 95595,Kershaw Clonal Selection Elgin Syrah,Sydafrika,750 ml,14 %,399:-
0,Nr 93720,Simonsig,Sydafrika,750 ml,"14,5 %",321:-
0,Nr 59359,Nederburg The Winemasters,Sydafrika,750 ml,14 %,122:-*
0,Nr 73639,Reyneke,Sydafrika,750 ml,"13,5 %",201:-
0,Nr 74926,Reyneke,Sydafrika,750 ml,14 %,561:-
0,Nr 57038,Saurwein,Sydafrika,750 ml,"13,5 %",491:-
0,Nr 57831,Reyneke,Sydafrika,750 ml,13 %,200:-
0,Nr 12658,Zonnebloem,Sydafrika,750 ml,"14,5 %",81:-
0,Nr 57833,Reyneke,Sydafrika,750 ml,13 %,450:-
0,Nr 20027,Jacques Germanier,Sydafrika,750 ml,"13,5 %",91:-
0,Nr 75546,Org de Rac,Sydafrika,750 ml,14 %,161:-
0,Nr 2081,Org de Rac,Sydafrika,750 ml,"14,5 %",141:-
0,Nr 73625,Reyneke Organic,Sydafrika,750 ml,13 %,111:-
0,Nr 2068,Driefontein,Sydafrika,750 ml,"13,5 %",201:-
