idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2974,Ruppertsberger,Tyskland,750 ml,13 %,81:-
0,Nr 22388,Krugscher Hof,Tyskland,750 ml,"13,5 %",142:-
0,Nr 94827,Weingut Keller,Tyskland,750 ml,"12,5 %",391:-
0,Nr 90224,Battenfeld Spanier,Tyskland,750 ml,"12,5 %",181:-
0,Nr 93541,Wöhrle,Tyskland,750 ml,13 %,229:-
0,Nr 93136,Rings,Tyskland,750 ml,13 %,549:-
0,Nr 92575,Chat Sauvage,Tyskland,750 ml,"13,5 %",379:-
0,Nr 92940,Chat Sauvage,Tyskland,750 ml,"13,5 %",539:-
0,Nr 93444,Chat Sauvage,Tyskland,750 ml,"13,5 %",249:-
0,Nr 94942,Weingut Christmann,Tyskland,750 ml,13 %,720:-
0,Nr 95372,Friedrich Becker Heydenreich,Tyskland,750 ml,"13,5 %",1 399:-
0,Nr 93472,Franz Keller,Tyskland,750 ml,13 %,879:-
0,Nr 93426,Franz Keller,Tyskland,750 ml,13 %,649:-
0,Nr 95649,Heydenreich Spätburgunder,Tyskland,750 ml,"13,5 %",1 399:-
0,Nr 94090,Keller,Tyskland,750 ml,"12,5 %",399:-
0,Nr 92735,Koehler-Ruprecht,Tyskland,750 ml,"12,5 %",201:-
0,Nr 74134,Philipp Kuhn,Tyskland,750 ml,13 %,191:-
0,Nr 51534,Philipp Kuhn,Tyskland,750 ml,14 %,451:-
0,Nr 56209,Dreissigacker,Tyskland,750 ml,"13,5 %",241:-
0,Nr 74203,Gustavshof,Tyskland,750 ml,"12,5 %",181:-
0,Nr 56784,Battenfeld Spanier,Tyskland,750 ml,"12,5 %",551:-
0,Nr 55965,Klumpp Gipskeuper,Tyskland,750 ml,13 %,241:-
0,Nr 73771,Weingut Julius,Tyskland,750 ml,13 %,220:-
0,Nr 77892,Spätburgunder,Tyskland,750 ml,13 %,211:-
0,Nr 75689,Isegrim,Tyskland,750 ml,"13,5 %",149:-
0,Nr 55068,Karl May,Tyskland,750 ml,13 %,252:-
0,Nr 70787,Fronhof,Tyskland,750 ml,13 %,251:-
0,Nr 79179,Sander,Tyskland,750 ml,"12,5 %",151:-
0,Nr 55700,Weingut Am Stein,Tyskland,750 ml,"12,5 %",390:-
0,Nr 55862,Weingut Am Stein,Tyskland,750 ml,"12,5 %",371:-
0,Nr 2183,Rings,Tyskland,750 ml,"12,5 %",201:-
0,Nr 71404,Gustavshof,Tyskland,750 ml,13 %,170:-
0,Nr 54065,Waltz,Tyskland,750 ml,"14,5 %",121:-
0,Nr 55612,Weingut Steintal,Tyskland,750 ml,"12,5 %",601:-
0,Nr 78804,Meyer-Näkel,Tyskland,750 ml,"13,5 %",251:-
0,Nr 76496,Meyer-Näkel,Tyskland,750 ml,"13,5 %",501:-
0,Nr 79143,Riedlin Rot,Tyskland,1500 ml,13 %,1 001:-
0,Nr 53929,Revenge of The Little Pig,Tyskland,750 ml,"12,5 %",91:-
0,Nr 50660,Kloster Eberbach,Tyskland,750 ml,"13,5 %",140:-
0,Nr 77458,Max Mann,Tyskland,750 ml,"12,5 %",87:-
0,Nr 50315,Markus Molitor,Tyskland,750 ml,"12,5 %",201:-
0,Nr 75269,The Daily August,Tyskland,750 ml,"13,5 %",201:-
0,Nr 71971,Groh,Tyskland,750 ml,13 %,231:-
