idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2158,Sopron,Ungern,750 ml,"12,5 %",131:-
0,Nr 90328,Wassmann,Ungern,750 ml,"13,5 %",250:-
0,Nr 92274,St Andrea,Ungern,750 ml,14 %,189:-
0,Nr 95191,Wassmann,Ungern,750 ml,13 %,199:-
0,Nr 78201,Homonna,Ungern,1500 ml,12 %,282:-
0,Nr 2771,Wunderlich,Ungern,750 ml,14 %,148:-
0,Nr 58532,Homonna,Ungern,1000 ml,"13,5 %",250:-
0,Nr 52117,Babel,Ungern,750 ml,"13,5 %",191:-
0,Nr 74166,Petrény,Ungern,750 ml,"13,5 %",163:-
0,Nr 72664,Hummel,Ungern,750 ml,"12,5 %",181:-
