idx,ID,Name,Country,Volume,Alcohol,Price
0,Nr 2251,Morandé Estate Reserve,Chile,750 ml,13 %,101:-
0,Nr 2892,Mooi by Org de Rac,Sydafrika,750 ml,12 %,102:-*
0,Nr 20047,Joachim Flick,Tyskland,750 ml,"12,5 %",201:-
0,Nr 2691,Castel Mimi,Moldavien,750 ml,13 %,101:-
0,Nr 4128,Château de Vimont,Frankrike,750 ml,14 %,220:-
0,Nr 4200,Leth,Österrike,750 ml,"12,5 %",97:-
0,Nr 5914,Ruppertsberger Hofstück,Tyskland,750 ml,11 %,81:-
0,Nr 81401,Jean Biecher,Frankrike,750 ml,13 %,111:-
0,Nr 2267,Brochet Facile,Frankrike,750 ml,"12,5 %",101:-
0,Nr 2581,Leth,Österrike,750 ml,"12,5 %",101:-
0,Nr 6293,Moonlight Manor,Sydafrika,750 ml,"12,5 %",96:-
0,Nr 2687,Bee You,USA,750 ml,13 %,101:-*
0,Nr 7934,Gato Negro,Chile,250 ml,12 %,30:-*
0,Nr 5901,Ruppertsberger Nussbien,Tyskland,750 ml,"10,5 %",81:-
0,Nr 5006,Dimension,Sydafrika,750 ml,13 %,81:-
0,Nr 2795,Buttery Barrel,USA,750 ml,"13,5 %",121:-
0,Nr 2808,Falco,Portugal,750 ml,"11,5 %",81:-*
0,Nr 16457,Lindemans,Australien,750 ml,"12,5 %",77:-*
0,Nr 20043,Lindeman's Bin 65,Australien,750 ml,13 %,81:-*
0,Nr 4993,Crudo,Italien,750 ml,"12,5 %",81:-
0,Nr 74879,P.Lex,Italien,750 ml,12 %,97:-
0,Nr 12284,Biecher,Frankrike,750 ml,12 %,111:-
0,Nr 7496,Jacob's Creek,Australien,375 ml,"12,5 %",50:-
0,Nr 78967,Brochet Réserve,Frankrike,750 ml,"12,5 %",121:-
0,Nr 2596,Casal Garcia,Portugal,750 ml,"8,5 %",70:-
0,Nr 7218,Dr L,Tyskland,750 ml,"10,5 %",101:-
0,Nr 6498,Stoneleigh,Nya Zeeland,750 ml,11 %,111:-
0,Nr 6311,Stoneleigh,Nya Zeeland,375 ml,13 %,66:-
0,Nr 6707,Alvarinho Contacto,Portugal,750 ml,"12,5 %",126:-
0,Nr 5822,Leitz Eins Zwei Dry,Tyskland,750 ml,12 %,101:-
