name,art_nr,country,volume,alc_vol,price
Guldkula,Nr 73077,Frankrike,750 ml,"12,5 % vol.",379:-
Louis Massing,Nr 70380,Frankrike,750 ml,"12,5 % vol.",269:-
Beaumont des Crayères,Nr 7891,Frankrike,750 ml,12 % vol.,289:-
La Chouette de Champillon,Nr 77366,Frankrike,750 ml,"12,5 % vol.",349:-
Philippe De Nantheuil,Nr 77262,Frankrike,750 ml,12 % vol.,259:-
André Clouet,Nr 7686,Frankrike,750 ml,12 % vol.,349:-
Moët & Chandon,Nr 7518,Frankrike,375 ml,12 % vol.,289:-
Nicolas Brobergière,Nr 52077,Frankrike,750 ml,12 % vol.,249:-
Cuvée Prestige Rosé Millésime,Nr 2735,Frankrike,750 ml,"12,5 % vol.",329:-
Debuchy,Nr 51619,Frankrike,750 ml,12 % vol.,229:-
Louis Bouillot,Nr 7688,Frankrike,1 500 ml,12 % vol.,319:-
Palmer & Co,Nr 7372,Frankrike,750 ml,12 % vol.,369:-
Pol Roger,Nr 7549,Frankrike,375 ml,"12,5 % vol.",299:-
Champagne Charles Ellner,Nr 7960,Frankrike,750 ml,12 % vol.,339:-
André Legrand,Nr 77841,Frankrike,750 ml,12 % vol.,289:-
Nicolas Feuillatte,Nr 7592,Frankrike,750 ml,12 % vol.,399:-
Champagne Comtesse de Neples,Nr 52537,Frankrike,750 ml,12 % vol.,249:-
Bollinger,Nr 7418,Frankrike,375 ml,12 % vol.,329:-
Bonnet,Nr 7471,Frankrike,375 ml,12 % vol.,249:-
Veuve Clicquot,Nr 7424,Frankrike,375 ml,12 % vol.,299:-
Bonnet,Nr 7555,Frankrike,750 ml,"12,5 % vol.",369:-
Launois,Nr 7450,Frankrike,750 ml,12 % vol.,389:-
Gremillet,Nr 75891,Frankrike,750 ml,"12,5 % vol.",399:-
Baglietti,Nr 73481,Italien,1 500 ml,11 % vol.,269:-
Ferrari Perlé,Nr 97714,Italien,750 ml,"12,5 % vol.",249:-
Genevieve,Nr 92076,Sydafrika,750 ml,12 % vol.,229:-
Jeanmaire,Nr 7430,Frankrike,750 ml,12 % vol.,279:-
Rotari,Nr 7567,Italien,1 500 ml,"12,5 % vol.",279:-
Moët & Chandon,Nr 7598,Frankrike,375 ml,12 % vol.,309:-
Palmer & Co,Nr 7372,Frankrike,375 ml,12 % vol.,219:-
Vve Fourny & Fils,Nr 2739,Frankrike,750 ml,12 % vol.,389:-
Charles Mignon,Nr 7719,Frankrike,750 ml,12 % vol.,299:-
Gremillet,Nr 50287,Frankrike,750 ml,"12,5 % vol.",299:-
Bonnet,Nr 7555,Frankrike,375 ml,12 % vol.,219:-
Heidsieck & Co,Nr 55242,Frankrike,750 ml,"12,5 % vol.",299:-
Beaumont des Crayères,Nr 50957,Frankrike,750 ml,12 % vol.,299:-
Exton Park,Nr 95085,Storbritannien,750 ml,"11,5 % vol.",399:-
Taittinger,Nr 7422,Frankrike,375 ml,"12,5 % vol.",289:-
Louis Roederer,Nr 7602,Frankrike,375 ml,12 % vol.,298:-
Costadilà,Nr 90427,Italien,750 ml,10 % vol.,208:-
André Clouet,Nr 7546,Frankrike,750 ml,12 % vol.,399:-
Rotari,Nr 7701,Italien,1 500 ml,"12,5 % vol.",279:-
Exton Park,Nr 95524,Storbritannien,750 ml,"11,5 % vol.",399:-
Gramona,Nr 93467,Spanien,750 ml,12 % vol.,360:-
Sabaté i Coca,Nr 94356,Spanien,750 ml,"12,5 % vol.",399:-
Loimer,Nr 92040,Österrike,750 ml,12 % vol.,229:-
Quartz Reef,Nr 93075,Nya Zeeland,750 ml,"12,5 % vol.",299:-
Single Moms,Nr 39111,EU,750 ml,12 % vol.,299:-
Quartet,Nr 91175,USA,750 ml,13 % vol.,339:-
Deutz,Nr 77711,Frankrike,375 ml,12 % vol.,299:-
Aphros Phaunus,Nr 93320,Portugal,750 ml,"10,5 % vol.",235:-
Maso Martis,Nr 94233,Italien,750 ml,"12,5 % vol.",359:-
Alta Alella Mirgin Opus,Nr 94846,Spanien,750 ml,12 % vol.,375:-
Aphros Phaunus,Nr 94229,Portugal,750 ml,11 % vol.,235:-
Epoquè,Nr 94277,Italien,750 ml,"12,5 % vol.",229:-
Raventós i Blanc,Nr 92634,Spanien,750 ml,12 % vol.,208:-
Llopart Panoramic,Nr 95081,Spanien,750 ml,"11,5 % vol.",238:-
Raventós i Blanc,Nr 94689,Spanien,750 ml,12 % vol.,299:-
Skepparps,Nr 93740,Sverige,750 ml,"12,5 % vol.",299:-
Bulles de Pinot,Nr 90120,Frankrike,750 ml,12 % vol.,229:-
Gute Vingård,Nr 38561,Sverige,750 ml,12 % vol.,345:-
Skepparps Grand Prix,Nr 38619,Sverige,750 ml,12 % vol.,295:-
Ebba,Nr 37441,Sverige,750 ml,"12,5 % vol.",329:-
Ebba,Nr 37488,Sverige,750 ml,"12,5 % vol.",335:-
Josefinelust,Nr 39602,Sverige,750 ml,"12,5 % vol.",369:-
Raventós i Blanc,Nr 94404,Spanien,750 ml,"12,5 % vol.",299:-
Franz Keller,Nr 90287,Tyskland,750 ml,12 % vol.,289:-
Österlenvins Bubbel,Nr 39671,Sverige,750 ml,"12,5 % vol.",342:-
Boråkra,Nr 39641,Sverige,750 ml,"12,5 % vol.",326:-
Åhus Bobblor,Nr 38817,Sverige,750 ml,"12,5 % vol.",327:-
Soalheiro,Nr 92260,Portugal,750 ml,"12,5 % vol.",229:-
Mellby Mousserande,Nr 35477,Sverige,750 ml,"11,5 % vol.",343:-
Van Volxem,Nr 92360,Tyskland,750 ml,12 % vol.,339:-
Clos Henri,Nr 92843,Nya Zeeland,750 ml,13 % vol.,299:-
Vinyes de Can Sala,Nr 93547,Spanien,750 ml,"12,5 % vol.",399:-
Hervé Dubois,Nr 92331,Frankrike,750 ml,12 % vol.,369:-
Jesper Friberg,Nr 38216,Sverige,750 ml,10 % vol.,276:-
Demeter Zoltán,Nr 92576,Ungern,750 ml,13 % vol.,249:-
Labruyère,Nr 90027,Frankrike,750 ml,"12,5 % vol.",379:-
Åhus Vingård,Nr 39672,Sverige,750 ml,7 % vol.,269:-
