name,art_nr,country,volume,alc_vol,price
Spring Village,Nr 4637,Frankrike,187 ml,12 % vol.,31:-*
Black Tower,Nr 6508,EU,750 ml,"8,5 % vol.",76:-
Ecologica La Pluma,Nr 2197,Spanien,750 ml,"12,5 % vol.",93:-
Mateus,Nr 2571,Portugal,375 ml,11 % vol.,49:-
Puy Chéri,Nr 2209,Frankrike,750 ml,"12,5 % vol.",89:-
Domaine de Collavery,Nr 2859,Frankrike,750 ml,13 % vol.,105:-
M de Minuty,Nr 2590,Frankrike,750 ml,13 % vol.,169:-
Perfect day,Nr 71770,Frankrike,750 ml,"12,5 % vol.",99:-
GW :s Rosa,Nr 70578,Frankrike,750 ml,12 % vol.,109:-
Barefoot,Nr 2215,USA,750 ml,8 % vol.,89:-
M de Minuty,Nr 2590,Frankrike,375 ml,13 % vol.,95:-
Mulderbosch,Nr 6077,Sydafrika,750 ml,"12,5 % vol.",99:-
Les Fumées Blanches,Nr 22138,Frankrike,750 ml,12 % vol.,99:-
Mateus,Nr 2571,Portugal,750 ml,11 % vol.,79:-
Kolkmann,Nr 20060,Österrike,750 ml,"11,5 % vol.",99:-*
Cuvée Madame,Nr 2203,Frankrike,750 ml,13 % vol.,139:-
Côté Mas,Nr 2282,Frankrike,750 ml,"12,5 % vol.",95:-
Pierre Chavin,Nr 74125,Frankrike,750 ml,13 % vol.,129:-
Via del Campo,Nr 2900,Spanien,750 ml,"12,5 % vol.",79:-
Leva,Nr 2660,Bulgarien,750 ml,"12,5 % vol.",79:-
Tommasi,Nr 72433,Italien,750 ml,"12,5 % vol.",109:-
Santa Julia,Nr 2134,Argentina,750 ml,"13,5 % vol.",99:-*
Spring Village,Nr 79451,Frankrike,750 ml,12 % vol.,79:-*
Enzo Bartoli,Nr 77940,Italien,750 ml,12 % vol.,139:-
Santa Julia,Nr 2134,Argentina,375 ml,"13,5 % vol.",59:-*
Côtes-du-Rhône,Nr 72949,Frankrike,750 ml,"12,5 % vol.",89:-
Minuty,Nr 79353,Frankrike,750 ml,"12,5 % vol.",189:-
Pink Hill,Nr 2082,Portugal,750 ml,"9,5 % vol.",79:-
Les Lauzeraies,Nr 2724,Frankrike,750 ml,14 % vol.,145:-
Pink Pet,Nr 6395,Spanien,750 ml,"12,5 % vol.",79:-*
Adobe,Nr 6357,Chile,750 ml,"12,5 % vol.",89:-
Mulderbosch,Nr 71747,Sydafrika,1 500 ml,"12,5 % vol.",209:-
La Galope,Nr 2258,Frankrike,750 ml,"9,5 % vol.",89:-
Ed Knows,Nr 3144,Moldavien,750 ml,13 % vol.,89:-
Golden Year,Nr 50268,Frankrike,750 ml,"12,5 % vol.",109:-
Les Remparts des Ceps Dorés,Nr 2239,Frankrike,375 ml,"13,5 % vol.",72:-
Berne Inspiration,Nr 2607,Frankrike,750 ml,"12,5 % vol.",169:-
Spring Village,Nr 4637,Frankrike,1 500 ml,12 % vol.,149:-*
SAAM,Nr 2580,Sydafrika,750 ml,"13,5 % vol.",119:-
Pazzione Rosé,Nr 86582,Spanien,750 ml,"11,5 % vol.",89:-
Grande Cuvée,Nr 77653,Frankrike,1 000 ml,"12,5 % vol.",99:-
Marlborough Estate,Nr 6026,Nya Zeeland,750 ml,"9,5 % vol.",109:-
Meinklang Prosa,Nr 74015,Österrike,750 ml,"10,5 % vol.",129:-
Santa Ana Organic,Nr 6921,Argentina,750 ml,"12,5 % vol.",95:-
Petite Cuvée Madame,Nr 78359,Frankrike,750 ml,"12,5 % vol.",109:-
Colle Reale,Nr 2242,Italien,750 ml,12 % vol.,99:-
EGO Vinum Espumoso Ancestral,Nr 90594,Spanien,750 ml,"12,5 % vol.",179:-
Terrapura,Nr 2479,Chile,750 ml,"12,5 % vol.",59:-
Bouchard Aîné & Fils,Nr 77476,Frankrike,750 ml,"12,5 % vol.",95:-
Hoof & Lur,Nr 92791,Grekland,750 ml,"12,5 % vol.",175:-
Craven,Nr 90688,Sydafrika,750 ml,12 % vol.,189:-
AUS,Nr 93417,Spanien,750 ml,"10,5 % vol.",169:-
Fuchs und Hase,Nr 90631,Österrike,750 ml,"11,5 % vol.",199:-
Alpamanta,Nr 92280,Argentina,750 ml,"11,5 % vol.",249:-
Piattelli,Nr 95028,Argentina,750 ml,14 % vol.,159:-
Arc-en-Ciel,Nr 50569,Frankrike,1 000 ml,"12,5 % vol.",89:-
Château Vignelaure,Nr 90666,Frankrike,750 ml,13 % vol.,179:-
