name,art_nr,country,volume,alc_vol,price
Marianne,Nr 2730,Sydafrika,750 ml,14 % vol.,189:-
Domìni Veneti,Nr 2304,Italien,375 ml,"12,5 % vol.",179:-
Villa Puccini,Nr 32417,Italien,1 500 ml,"12,5 % vol.",189:-
Marqués de Riscal,Nr 2573,Spanien,750 ml,14 % vol.,189:-
Castelmare,Nr 75707,Italien,750 ml,15 % vol.,189:-
Château de la Liquière Faugères,Nr 3531,Frankrike,750 ml,14 % vol.,174:-
Tommasi,Nr 22350,Italien,375 ml,15 % vol.,189:-
Saperavi Qvevri,Nr 92197,Georgien,750 ml,13 % vol.,179:-
Jean-Claude Boisset,Nr 78614,Frankrike,750 ml,"12,5 % vol.",179:-
Seppeltsfield,Nr 90202,Australien,750 ml,"14,5 % vol.",185:-
Château Bouscassé,Nr 2204,Frankrike,750 ml,"13,5 % vol.",179:-
Maison Chandesais,Nr 94084,Frankrike,750 ml,13 % vol.,185:-
Rocca di Castagnoli,Nr 94274,Italien,750 ml,14 % vol.,179:-
Marqués de Peñamonte,Nr 92493,Spanien,750 ml,15 % vol.,179:-
Trinity Hill,Nr 95019,Nya Zeeland,750 ml,13 % vol.,179:-
Benanti Etna Rosso,Nr 95445,Italien,750 ml,14 % vol.,179:-
Legaris Crianza,Nr 95004,Spanien,750 ml,15 % vol.,189:-
DeAetna,Nr 2400,Italien,750 ml,"13,5 % vol.",185:-
Le Volte,Nr 32472,Italien,750 ml,14 % vol.,189:-
Tre Marchetti,Nr 72828,Italien,750 ml,15 % vol.,189:-
Arbin Mondeuse Avalanche,Nr 2240,Frankrike,750 ml,12 % vol.,179:-
Rua,Nr 6265,Nya Zeeland,750 ml,14 % vol.,189:-
Poliziano Vino Nobile di Montepulciano,Nr 2144,Italien,750 ml,14 % vol.,189:-
Philipp Kuhn,Nr 74134,Tyskland,750 ml,"13,5 % vol.",189:-
Chiara Condello,Nr 92865,Italien,750 ml,14 % vol.,179:-
Hartenberg,Nr 2314,Sydafrika,750 ml,"14,5 % vol.",189:-
Bruna Grimaldi,Nr 90099,Italien,750 ml,15 % vol.,189:-
GR-174,Nr 2770,Spanien,750 ml,15 % vol.,189:-
Château Mont-Redon,Nr 2811,Frankrike,375 ml,"15,5 % vol.",179:-
So Franc,Nr 93036,Frankrike,750 ml,"13,5 % vol.",179:-
Palmento Costanzo,Nr 2116,Italien,750 ml,13 % vol.,189:-
Tayu 1865,Nr 90253,Chile,750 ml,"12,5 % vol.",179:-
Barbaresco,Nr 5337,Italien,750 ml,"13,5 % vol.",181:-
Pica-Pica,Nr 20049,Portugal,750 ml,14 % vol.,179:-
Barbera d'Asti,Nr 90300,Italien,750 ml,14 % vol.,179:-
Koyle Royale,Nr 90495,Chile,750 ml,"14,5 % vol.",189:-
Coriole,Nr 91305,Australien,750 ml,"13,5 % vol.",189:-
Chiroubles,Nr 92013,Frankrike,750 ml,"12,5 % vol.",179:-
Battenfeld Spanier,Nr 92748,Tyskland,750 ml,"12,5 % vol.",189:-
Donkiesbaai,Nr 13066,Sydafrika,750 ml,14 % vol.,189:-
Hermon,Nr 2518,Golanhöjderna (israelisk bosättning),750 ml,14 % vol.,189:-
Alegre Valgañon,Nr 90362,Spanien,750 ml,14 % vol.,179:-
Maggiorina,Nr 92369,Italien,750 ml,"12,5 % vol.",185:-
