name,art_nr,country,volume,alc_vol,price
Olivier Leflaive,Nr 5657,Frankrike,750 ml,13 % vol.,329:-
Moulin Touchais,Nr 4196,Frankrike,750 ml,13 % vol.,399:-
Riesling Heimbourg,Nr 96178,Frankrike,750 ml,13 % vol.,359:-
Chablis Premier Cru Vaillons,Nr 96141,Frankrike,750 ml,13 % vol.,349:-
Pouilly-Fuissé Vieilles Vignes,Nr 91312,Frankrike,750 ml,"13,5 % vol.",349:-
Sancerre Les Roches,Nr 5514,Frankrike,750 ml,13 % vol.,329:-
Domaine Laroche,Nr 96146,Frankrike,750 ml,12 % vol.,309:-
Bassermann-Jordan,Nr 94095,Tyskland,750 ml,13 % vol.,375:-
Riesling Im Pitterberg GG,Nr 95035,Tyskland,750 ml,"12,5 % vol.",326:-
Sybille Kuntz,Nr 95235,Tyskland,750 ml,13 % vol.,346:-
Marsannay Blanc,Nr 91291,Frankrike,750 ml,"12,5 % vol.",399:-
Riesling Saumagen Grosses Gewächs,Nr 90671,Tyskland,750 ml,13 % vol.,375:-
Rijckaert Pouilly-Fuissé Sur La Roche,Nr 94368,Frankrike,750 ml,13 % vol.,389:-
Domäne Wachau,Nr 92039,Österrike,750 ml,"13,5 % vol.",306:-
Gewurztraminer Goldert Grand Cru,Nr 90215,Frankrike,750 ml,"13,5 % vol.",319:-
Grawü Grasselli & Würth,Nr 92938,Italien,750 ml,"12,5 % vol.",369:-
Pattes Loup,Nr 92096,Frankrike,750 ml,"12,5 % vol.",369:-
Chinon Les Charmes Blanc,Nr 92854,Frankrike,750 ml,14 % vol.,369:-
Rijckaert Arbois Grand Elevage Savagnin,Nr 94363,Frankrike,750 ml,14 % vol.,339:-
Ambyth,Nr 90085,USA,750 ml,"11,5 % vol.",379:-
Simpsons,Nr 93928,Storbritannien,750 ml,"12,5 % vol.",329:-
Chablis 1er Cru Mont de Milieu,Nr 90674,Frankrike,750 ml,13 % vol.,399:-
Pegasus Natur Ek,Nr 39367,Sverige,750 ml,"13,5 % vol.",325:-
Pegasus Solera,Nr 39370,Sverige,750 ml,"14,5 % vol.",345:-
Pegasus Ambra,Nr 39734,Sverige,750 ml,"12,5 % vol.",325:-
La Varenne de Combre,Nr 90197,Frankrike,750 ml,13 % vol.,389:-
Le Clos Galerne,Nr 91142,Frankrike,750 ml,15 % vol.,399:-
Milan Nestarec,Nr 92381,Tjeckien,750 ml,12 % vol.,329:-
Lokalproducerat EU-vin,Nr 38641,EU,750 ml,13 % vol.,326:-
Zidarich,Nr 90421,Italien,750 ml,"12,5 % vol.",349:-
Le Grand Rochoy,Nr 93986,Frankrike,750 ml,13 % vol.,309:-
Sixto Uncovered,Nr 90343,USA,750 ml,14 % vol.,379:-
Ver Sacrum,Nr 94033,Argentina,750 ml,"12,5 % vol.",349:-
Benanti,Nr 90408,Italien,750 ml,12 % vol.,346:-
Riesling Grand Cru,Nr 2513,Frankrike,750 ml,"13,5 % vol.",305:-
Am Lumpen 1655,Nr 55279,Tyskland,750 ml,"13,5 % vol.",346:-
Pegasus Natur,Nr 37898,Sverige,750 ml,"13,5 % vol.",322:-
Peter Lauer,Nr 93598,Tyskland,750 ml,"9,5 % vol.",325:-
Veronica Ortega,Nr 93533,Spanien,750 ml,12 % vol.,398:-
Domaine Rewa,Nr 92153,Nya Zeeland,750 ml,14 % vol.,329:-
